when	WRB	when
little	JJ	little
parents	NNS	parent
got	VBD	get
watch	NN	watch
really	RB	really
liked	VBD	like
watched	VBN	watch
over	IN	over
again	RB	again
3rd	JJ	3rd
grade	NN	grade
still	RB	still
watched	VBD	watch
time	NN	time
time	NN	time
recently	RB	recently
watched	VBD	watch
again	RB	again
just	RB	just
sake	NN	sake
nostalgia	NN	nostalgia
though	IN	though
not	RB	not
aimed	VBN	aim
age	NN	age
group	NN	group
i	NNS	i
'm	VBP	be
late	JJ	late
teens	NNS	teen
still	RB	still
entertaining	VBG	entertain
educational	JJ	educational
teaches	VBZ	teach
good	JJ	good
lessons	NNS	lesson
imagination	NN	imagination
getting	VBG	get
well	RB	well
parts	NNS	part
quite	RB	quite
entertaining	JJ	entertaining
does	VBZ	do
not	RB	not
any	DT	any
bad	JJ	bad
content	JJ	content
leave	NN	leave
kids	NNS	kid
not	RB	not
worry	VBP	worry
picking	VBG	pick
up	RP	up
any	DT	any
bad	JJ	bad
language	NN	language
whatnot	NN	whatnot
recommend	VBP	recommend
