what	WP	what
say	VBP	say
film	NN	film
than	IN	than
"	``	"
do	VBP	do
n't	RB	n't
it	PP	it
"	``	"
waited	VBD	wait
waited	VBD	wait
waited	VBN	wait
someting	VBG	<unknown>
happen	RB	happen
just	RB	just
did	VBD	do
n't	RB	n't
come	VB	come
watch	VB	watch
amazingly	RB	amazingly
as	IN	as
people	NNS	people
walk	VBP	walk
while	IN	while
setting	NN	setting
record	NN	record
most	JJS	most
filler	NN	filler
screen	NN	screen
time	NN	time
single	JJ	single
doing	VBG	do
solving	VBG	solve
mystery	NN	mystery
gathering	VBG	gather
clues	NNS	clue
possibly	RB	possibly
it	PP	it
's	VBZ	be
just	RB	just
hard	RB	hard
tell	VB	tell
end	NN	end
lot	NN	lot
radio	NN	radio
signals	NNS	signal
decoded	VBD	decode
illegibly	RB	illegibly
sort	VB	sort
pet	JJ	pet
monitor	NN	monitor
guy	NN	guy
gives	VBZ	give
lectures	NNS	lecture
plot	NN	plot
finally	RB	finally
revealed	VBD	reveal
tossed	VBN	toss
aside	RP	aside
as	RB	as
quickly	RB	quickly
as	IN	as
possible	JJ	possible
aliens	NNS	alien
want	VBP	want
to	TO	to
home	NN	home
world	NN	world
utopia	NN	Utopia
happy	JJ	happy
want	VBP	want
blow	NN	blow
up	IN	up
earth	NN	earth
guess	NN	guess
do	VBP	do
n't	RB	n't
like	VB	like
sharing	VBG	share
wealth	NN	wealth
guess	NN	guess
finished	VBD	finish
filming	VBG	film
saw	VBD	see
35	CD	@card@
minute	NN	minute
work	NN	work
art	NN	art
garbage	NN	garbage
decided	VBD	decide
they	PP	they
'd	MD	will
let	VB	let
editing	VBG	edit
crew	NN	crew
turn	VB	turn
88	CD	@card@
minute	NN	minute
feature	NN	feature
film	NN	film
watch	NN	watch
peril	NN	peril
it	PP	it
's	VBZ	be
not	RB	not
funny	JJ	funny
it	PP	it
's	VBZ	be
bad	JJ	bad
it	PP	it
's	VBZ	be
just	RB	just
bad	JJ	bad
