this	DT	this
great	JJ	great
"	``	"
small	JJ	small
"	''	"
film	NN	film
say	VBP	say
"	``	"
small	JJ	small
"	''	"
does	VBZ	do
n't	RB	n't
guns	NNS	gun
firing	VBG	fire
dozen	NN	dozen
explosions	NNS	explosion
as	IN	as
john	NN	john
woo	VB	woo
film	NN	film
great	JJ	great
performances	NNS	performance
roy	NP	Roy
scheider	NP	Scheider
"	``	"
bad	JJ	bad
guys	NNS	guy
"	''	"
john	NN	john
frankenheimer	NNS	<unknown>
more	JJR	more
luck	NN	luck
small	JJ	small
productions	NNS	production
days	NNS	day
film	NN	film
very	RB	very
easy	RB	easy
watch	VB	watch
story	NN	story
more	JJR	more
yarn	NN	yarn
than	IN	than
washing	VBG	wash
machine	NN	machine
instead	RB	instead
going	VBG	go
around	RP	around
as	RB	as
though	IN	though
things	NNS	thing
just	RB	just
worse	JJR	bad
as	IN	as
plot	NN	plot
thickens	VBZ	thicken
wonderful	JJ	wonderful
ending	VBG	end
very	RB	very
positive	JJ	positive
never	RB	never
read	VBN	read
elmore	NN	<unknown>
leonard	NN	Leonard
book	NN	book
but	CC	but
ca	MD	ca
n't	RB	n't
much	RB	much
different	JJ	different
film	NN	film
feels	VBZ	feel
like	IN	like
i	NP	i
'm	VBP	be
watching	VBG	watch
elmore	NN	<unknown>
leonard	NN	Leonard
