this	DT	this
worst	JJS	bad
seen	VBN	see
while	IN	while
featuring	VBG	feature
good	JJ	good
actors	NNS	actor
does	VBZ	do
n't	RB	n't
live	VB	live
up	RP	up
expectations	NNS	expectation
most	RBS	most
dramatic	JJ	dramatic
thing	NN	thing
music	NN	music
pretty	RB	pretty
much	JJ	much
sums	NNS	sum
up	IN	up
compensating	VBG	compensate
bad	JJ	bad
confusing	JJ	confusing
storyline	NN	storyline
having	VBG	have
known	VBN	know
good	JJ	good
actors	NNS	actor
loud	JJ	loud
dramatic	JJ	dramatic
music	NN	music
does	VBZ	do
n't	RB	n't
change	VB	change
fact	NN	fact
very	RB	very
boring	JJ	boring
watch	NN	watch
earned	VBD	earn
itself	PP	itself
score	VBP	score
1	CD	1
