the	DT	the
sopranos	NNS	soprano
probably	RB	probably
best	RBS	well
air	VBP	air
90	CD	@card@
's	POS	's
sad	JJ	sad
best	JJS	good
hbo	NN	<unknown>
not	RB	not
tv	NN	tv
not	RB	not
spelled	VBD	spell
you	PP	you
think	VBP	think
brilliant	JJ	brilliant
cast	NN	cast
excellent	JJ	excellent
tony	JJ	tony
james	NNS	<unknown>
gandolphini	NN	<unknown>
great	JJ	great
actor	NN	actor
played	VBD	play
character	NN	character
excellent	JJ	excellent
as	IN	as
well	RB	well
as	IN	as
character	NN	character
flaws	NNS	flaw
thats	VBZ	<unknown>
real	JJ	real
allowed	VBN	allow
viewers	NNS	viewer
connect	VBP	connect
thats	NNS	<unknown>
reason	NN	reason
lasted	VBD	last
long	JJ	long
episode	NN	episode
good	JJ	good
i	NNS	i
'm	VBP	be
not	RB	not
sure	JJ	sure
many	JJ	many
different	JJ	different
things	NNS	thing
construed	VBD	construe
ending	VBG	end
id	NN	id
like	IN	like
think	NN	think
tony	JJ	tony
did	VBD	do
n't	RB	n't
die	VB	die
but	CC	but
meadow	NN	meadow
walked	VBD	walk
sat	VBN	sit
blackout	RB	blackout
just	RB	just
suspense	NN	suspense
tony	JJ	tony
to	TO	to
trial	NN	trial
deal	NN	deal
hopefully	RB	hopefully
not	RB	not
dead	JJ	dead
thats	NNS	<unknown>
feel	VBP	feel
long	RB	long
live	VB	live
sopranos	NNS	soprano
tony	JJ	tony
soprano	NN	soprano
