i	NP	i
wanted	VBD	want
watch	NN	watch
but	CC	but
bizarre	JJ	bizarre
ridiculous	JJ	ridiculous
scene	NN	scene
forced	VBD	force
shut	JJ	shut
character	NN	character
's	POS	's
do	VBP	do
n't	RB	n't
react	VB	react
consider	VB	consider
heath	NN	heath
ledger	NN	ledger
walking	VBG	walk
night	NN	night
cemetery	NN	cemetery
believe	VBP	believe
attacked	VBN	attack
spirits	NNS	spirit
drives	NNS	drive
away	RB	away
past	JJ	past
ordeal	NN	ordeal
calmly	RB	calmly
walks	VBZ	walk
away	RB	away
meets	VBZ	meet
up	RP	up
friend	NN	friend
saw	VBD	see
all	DT	all
asked	VBN	ask
happen	VBP	happen
says	VBZ	say
blandly	RB	blandly
"	``	"
attacked	VBN	attack
demons	NNS	demon
nothing	RB	nothing
serious	JJ	serious
"	''	"
as	IN	as
little	RB	little
more	RBR	more
exciting	JJ	exciting
than	IN	than
flat	JJ	flat
tire	NN	tire
shut	VBD	shut
ask	VB	ask
demon	NN	demon
stopped	VBN	stop
caring	JJ	caring
ques	NNS	<unknown>
ion	NN	ion
answer	NN	answer
rented	VBD	rent
energy	NN	energy
death	NN	death
priest	NN	priest
watch	NN	watch
appears	VBZ	appear
vague	JJ	vague
annoyance	NN	annoyance
as	IN	as
man	NN	man
strung	VBN	string
up	RP	up
hung	VBD	hang
ask	VB	ask
thrashing	NN	thrashing
dying	VBG	die
body	NN	body
question	NN	question
0	CD	0
stars	NNS	star
