i	NP	i
never	RB	never
thought	VBD	think
standard	JJ	standard
yashraj	NN	<unknown>
films	NNS	film
degrade	VBP	degrade
extent	NN	extent
film	NN	film
nonsense	NN	nonsense
storyline	NN	storyline
catches	VBZ	catch
no	DT	no
interest	NN	interest
saif	NN	<unknown>
acted	VBD	act
kareena	NN	<unknown>
improved	VBD	improve
figure	NN	figure
but	CC	but
not	RB	not
good	JJ	good
actress	NN	actress
akshay	NN	<unknown>
good	JJ	good
anil	NN	anil
good	JJ	good
say	VBP	say
role	NN	role
was	VBD	be
n't	RB	n't
good	JJ	good
great	JJ	great
deal	NN	deal
cheapness	NN	cheapness
filled	VBN	fill
wondered	VBD	wonder
supposed	VBN	suppose
"	``	"
comedy	NN	comedy
part	NN	part
"	``	"
just	RB	just
few	JJ	few
flops	NNS	flop
does	VBZ	do
mean	JJ	mean
yashraj	NN	<unknown>
films	NNS	film
make	VBP	make
kind	NN	kind
rubbish	NN	rubbish
history	NN	history
many	JJ	many
good	JJ	good
films	NNS	film
overall	RB	overall
totally	RB	totally
disappointed	VBN	disappoint
