this	DT	this
complete	JJ	complete
disappointment	NN	disappointment
acting	NN	acting
is	VBZ	be
n't	RB	n't
bad	JJ	bad
but	CC	but
production	NN	production
just	RB	just
bad	JJ	bad
times	NNS	time
felt	VBD	feel
needed	JJ	needed
stop	NN	stop
but	CC	but
sadly	RB	sadly
able	JJ	able
finish	NN	finish
bit	NN	bit
embarrassed	VBD	embarrass
whole	JJ	whole
poor	JJ	poor
o	NN	o
k	NN	k
o	NN	o
k	NN	k
cheesy	JJ	cheesy
moral	JJ	moral
plots	NNS	plot
do	VBP	do
n't	RB	n't
mind	VB	mind
watching	VBG	watch
vastly	RB	vastly
misconstrues	VBZ	misconstrue
whitman	NN	<unknown>
want	VB	want
cheesy	JJ	cheesy
fictional	JJ	fictional
story	NN	story
