i	NP	i
saw	VBD	see
theater	NN	theater
kid	NN	kid
always	RB	always
remember	VB	remember
as	IN	as
experience	NN	experience
getting	VBG	get
ripped	VBN	rip
horrible	JJ	horrible
good	JJ	good
commercial	JJ	commercial
commercial	JJ	commercial
great	JJ	great
but	CC	but
later	JJR	late
explosion	NN	explosion
'	POS	'
special	JJ	special
effect	NN	effect
'	POS	'
entire	JJ	entire
4	CD	4
were	VBD	be
n't	RB	n't
sort	RB	sort
plot	VB	plot
relating	VBG	relate
aliens	NNS	alien
but	CC	but
aliens	NNS	alien
never	RB	never
actually	RB	actually
shown	VBN	show
as	IN	as
far	RB	far
as	RB	as
remember	VB	remember
clearly	RB	clearly
case	NN	case
making	VBG	make
buck	NN	buck
cheap	JJ	cheap
designed	VBN	design
scam	NN	scam
people	NNS	people
guess	VBP	guess
world	NN	world
innocence	NN	innocence
ended	VBD	end
day	NN	day
bad	JJ	bad
people	NNS	people
make	VBP	make
bad	JJ	bad
bad	JJ	bad
