who	WP	who
watch	VBP	watch
look	VB	look
lucy	NN	<unknown>
liu	NN	<unknown>
not	RB	not
overjoyed	VBD	overjoy
woman	NN	woman
amazingly	RB	amazingly
beautiful	JJ	beautiful
talented	JJ	talented
actress	NN	actress
that	WDT	that
's	VBZ	be
tough	JJ	tough
combination	NN	combination
days	NNS	day
jeremy	NN	<unknown>
northam	NN	<unknown>
heard	VBD	hear
plenty	NN	plenty
times	NNS	time
but	CC	but
never	RB	never
really	RB	really
noticed	VBN	notice
advice	NN	advice
hollywood	NN	<unknown>
"	''	"
use	VBP	use
more	RBR	more
"	``	"
watched	JJ	watched
graveyard	NN	graveyard
shift	NN	shift
do	VBP	do
n't	RB	n't
recommend	VB	recommend
it	PP	it
's	POS	's
bit	NN	bit
complicated	VBD	complicate
mysterious	JJ	mysterious
still	RB	still
ca	MD	ca
n't	RB	n't
believe	VB	believe
did	VBD	do
n't	RB	n't
ending	VBG	end
coming	VBG	come
i	NNS	i
'm	VBP	be
not	RB	not
gonna	VBG	gonna
say	VBP	say
cause	NN	cause
that	WDT	that
'll	MD	will
spoil	VB	spoil
hole	NN	hole
although	IN	although
saying	VBG	say
spoilment	NN	<unknown>
enough	JJ	enough
i	NP	i
'm	VBP	be
suppose	VBP	suppose
cast	NN	cast
vote	NN	vote
love	VBP	love
dark	JJ	dark
mystic	JJ	mystic
story	NN	story
actors	NNS	actor
did	VBD	do
good	JJ	good
job	NN	job
love	NN	love
directors	NNS	director
natali	NNS	<unknown>
work	VBP	work
past	JJ	past
there	EX	there
's	VBZ	be
not	RB	not
big	JJ	big
audience	NN	audience
kind	NN	kind
thing	NN	thing
that	WDT	that
's	VBZ	be
pretty	RB	pretty
risky	JJ	risky
know	VBP	know
i	NNS	i
'm	VBP	be
just	RB	just
gonna	VBG	gonna
work	NN	work
8	CD	8
cause	NN	cause
everybody	NN	everybody
again	RB	again
1	CD	1
point	NN	point
deduction	NN	deduction
cause	VBP	cause
always	RB	always
space	NN	space
improvement	NN	improvement
