i	NP	i
watched	VBD	watch
today	NN	today
just	RB	just
blew	VBD	blow
mind	VB	mind
away	RP	away
real	JJ	real
masterpiece	NN	masterpiece
art	NN	art
do	VBP	do
n't	RB	n't
understand	VB	understand
most	JJS	most
people	NNS	people
think	VBP	think
it	PP	it
's	VBZ	be
garbage	NN	garbage
main	JJ	main
idea	NN	idea
ego	NN	ego
away	RB	away
true	JJ	true
power	NN	power
main	JJ	main
battle	NN	battle
end	NN	end
guy	NN	guy
ritchie	NN	<unknown>
shown	VBN	show
magnificent	JJ	magnificent
way	NN	way
"	``	"
the	DT	the
greatest	JJS	great
enemy	NN	enemy
hide	NN	hide
place	NN	place
look	VBP	look
"	``	"
remember	VB	remember
true	JJ	true
enemy	NN	enemy
ego	NN	ego
voice	NN	voice
always	RB	always
tells	VBZ	tell
important	JJ	important
gives	VBZ	give
pride	NN	pride
tells	VBZ	tell
not	RB	not
but	CC	but
creates	VBZ	create
aggression	NN	aggression
wants	VBZ	want
control	NN	control
creates	VBZ	create
all	DT	all
negative	JJ	negative
feelings	NNS	feeling
thoughts	NNS	thought
gr	NN	Gr
expressed	VBD	express
idea	NN	idea
astonishing	JJ	astonishing
way	NN	way
shown	VBN	show
way	NN	way
gain	NN	gain
true	JJ	true
control	NN	control
loose	RB	loose
control	VBP	control
just	RB	just
let	VB	let
personal	JJ	personal
importance	NN	importance
superb	JJ	superb
