there	EX	there
not	RB	not
original	JJ	original
idea	NN	idea
story	NN	story
themes	NNS	theme
pulled	VBD	pull
various	JJ	various
sources	NNS	source
few	JJ	few
ninth	JJ	ninth
gate	NN	gate
mouth	NN	mouth
madness	NN	madness
carpenter	NN	carpenter
film	NN	film
ring	NN	ring
went	VBD	go
as	RB	as
far	RB	far
as	IN	as
featuring	VBG	feature
damn	JJ	damn
glowing	JJ	glowing
circle	NN	circle
ring	NN	ring
using	VBG	use
as	IN	as
film	NN	film
's	POS	's
namesake	NN	namesake
soundtrack	NN	soundtrack
cody	NN	<unknown>
carpenter	NN	carpenter
all	RB	all
but	CC	but
lifted	VBN	lift
suspiria	NNS	<unknown>
hopefully	RB	hopefully
no	RB	no
oppose	VBP	oppose
comment	NN	comment
spewing	VBG	spew
word	NN	word
homage	NN	homage
yes	RB	yes
saw	VBD	see
theater	NN	theater
playing	VBG	play
argento	NN	<unknown>
's	POS	's
deep	JJ	deep
red	JJ	red
claiming	VBG	claim
homage	NN	homage
bullshit	NN	bullshit
cop	NN	cop
barrel	NN	barrel
throwing	VBG	throw
gore	NN	gore
"	``	"
disturbing	JJ	disturbing
"	''	"
imagery	NN	imagery
pot	NN	pot
does	VBZ	do
not	RB	not
make	VB	make
good	JJ	good
horror	NN	horror
film	NN	film
carpenter	NN	carpenter
used	VBD	use
know	VB	know
fade	NN	fade
obscurity	NN	obscurity
acquire	VB	acquire
time	NN	time
machine	NN	machine
