i	NP	i
very	RB	very
big	JJ	big
jim	NN	<unknown>
carrey	NN	<unknown>
fan	NN	fan
laughed	VBD	laugh
ass	NN	ass
liar	NN	liar
liar	NN	liar
ace	NN	ace
ventura	NN	<unknown>
like	IN	like
serious	JJ	serious
especially	RB	especially
truman	NN	<unknown>
cross	VBP	cross
very	RB	very
funny	JJ	funny
serious	JJ	serious
course	NN	course
very	RB	very
funny	JJ	funny
but	CC	but
parts	NNS	part
very	RB	very
serious	JJ	serious
pulls	VBZ	pull
lot	RB	lot
ease	VB	ease
truely	JJ	<unknown>
multi	NNS	Multi
function	VBP	function
actor	NN	actor
as	IN	as
rest	NN	rest
cast	VBD	cast
happy	JJ	happy
jennifer	NN	<unknown>
aniston	NN	<unknown>
's	VBZ	be
acting	VBG	act
think	VB	think
more	RBR	more
than	IN	than
just	RB	just
couple	JJ	couple
nice	JJ	nice
tits	NNS	tit
great	JJ	great
ass	NN	ass
morgan	NN	<unknown>
freeman	NN	freeman
makes	VBZ	make
very	RB	very
cool	VB	cool
god	NN	god
as	IN	as
steven	JJ	<unknown>
carell	NN	<unknown>
limited	JJ	limited
scenes	NNS	scene
very	RB	very
funny	JJ	funny
especially	RB	especially
anchor	VBP	anchor
scene	NN	scene
overall	JJ	overall
rate	NN	rate
9	CD	9
good	JJ	good
acting	JJ	acting
funny	JJ	funny
script	NN	script
very	RB	very
serious	JJ	serious
situations	NNS	situation
make	VBP	make
very	RB	very
good	JJ	good
film	NN	film
