i	NP	i
went	VBD	go
film	NN	film
expectations	NNS	expectation
hype	NN	hype
insightful	JJ	insightful
uplifting	VBG	uplift
certainly	RB	certainly
more	JJR	more
than	IN	than
cheap	JJ	cheap
promotional	JJ	promotional
band	NN	band
"	``	"
wilco	NN	<unknown>
"	''	"
instead	RB	instead
lot	RB	lot
moping	VBG	mope
whining	VBG	whine
"	``	"
the	DT	the
process	NN	process
"	``	"
dishonorable	JJ	dishonorable
no	DT	no
doubt	NN	doubt
sided	VBD	side
portrayal	NN	portrayal
band	NN	band
members	NNS	member
kicked	VBD	kick
prima	JJ	prima
donna	NN	<unknown>
lead	NN	lead
singer	NN	singer
songwriter	NN	songwriter
gut	NN	gut
wrenching	JJ	wrenching
confession	NN	confession
fallen	VBN	fall
member	NN	member
's	POS	's
friend	NN	friend
like	IN	like
18	CD	@card@
years	NNS	year
saying	VBG	say
"	``	"
friendship	NN	friendship
run	NN	run
course	NN	course
"	``	"
whiny	JJ	whiny
uncompelling	NN	<unknown>
story	NN	story
record	NN	record
label	NN	label
"	''	"
hurt	VBN	hurt
feelings	NNS	feeling
"	``	"
dumping	VBG	dump
band	NN	band
immediately	RB	immediately
50	CD	@card@
offers	NNS	offer
labels	VBZ	label
oh	UH	oh
tension	NN	tension
not	RB	not
tried	VBN	try
best	RBS	well
make	VBP	make
look	NN	look
like	IN	like
strain	NN	strain
but	CC	but
suspect	VB	suspect
all	DT	all
smoke	NN	smoke
mirrors	VBZ	mirror
generate	VB	generate
tragedy	NN	tragedy
did	VBD	do
n't	RB	n't
exist	VB	exist
does	NNS	doe
n't	RB	n't
account	VBP	account
long	RB	long
stretches	VBZ	stretch
many	DT	many
newest	JJS	new
songs	NNS	song
shoved	VBD	shove
full	JJ	full
any	DT	any
storyline	NN	storyline
insight	NN	insight
decent	JJ	decent
job	NN	job
cinematography	NN	cinematography
strained	JJ	strained
attempts	NNS	attempt
emotional	JJ	emotional
sincerity	NN	sincerity
reasonable	JJ	reasonable
perspective	NN	perspective
life	NN	life
sick	JJ	sick
watch	NN	watch
film	NN	film
band	NN	band
sounds	VBZ	sound
like	IN	like
bunch	NN	bunch
vile	JJ	vile
little	JJ	little
babies	NNS	baby
poke	NN	poke
voice	NN	voice
do	VBP	do
n't	RB	n't
think	VB	think
they	PP	they
're	VBP	be
kind	NN	kind
guardians	NNS	guardian
art	NN	art
music	NN	music
most	JJS	most
definitely	RB	definitely
not	RB	not
thought	VBN	think
music	NN	music
sucked	VBN	suck
could	MD	could
n't	RB	n't
understand	VB	understand
lyrics	NNS	lyric
mumbling	VBG	mumble
style	NN	style
lead	NN	lead
singer	NN	singer
2	CD	2
10	CD	@card@
