my	PP$	my
rating	NN	rating
refers	VBZ	refer
4	CD	4
seasons	NNS	season
stargate	JJ	<unknown>
sg	NP	<unknown>
1	CD	1
wonderfully	RB	wonderfully
fresh	JJ	fresh
creative	JJ	creative
addicting	VBG	addict
cast	NN	cast
stepped	VBD	step
gate	NN	gate
never	RB	never
knew	VBD	know
lay	VB	lay
starting	VBG	start
season	NN	season
5	CD	5
took	VBD	take
different	JJ	different
focus	NN	focus
still	RB	still
good	JJ	good
but	CC	but
different	JJ	different
series	NN	series
follows	VBZ	follow
adventures	NNS	adventure
team	NN	team
humans	NNS	human
alien	VBP	alien
regularly	RB	regularly
venture	VB	venture
planetary	JJ	planetary
transport	NN	transport
device	NN	device
called	VBN	call
"	``	"
stargate	JJ	<unknown>
"	''	"
backstory	NN	<unknown>
series	NN	series
based	VBN	base
characters	NNS	character
events	NNS	event
"	``	"
stargate	JJ	<unknown>
"	''	"
device	NN	device
discovered	VBD	discover
archaeological	JJ	archaeological
dig	NN	dig
egypt	NN	<unknown>
episodes	NNS	episode
light	JJ	light
innocent	JJ	innocent
easy	JJ	easy
watch	NN	watch
very	RB	very
creative	JJ	creative
many	JJ	many
inventive	JJ	inventive
stories	NNS	storey
easily	RB	easily
great	JJ	great
sci	NN	<unknown>
fi	NN	<unknown>
happens	VBZ	happen
always	RB	always
unpredictable	JJ	unpredictable
characters	NNS	character
rests	NNS	rest
well	RB	well
defined	VBD	define
brilliantly	RB	brilliantly
performed	VBN	perform
tone	NN	tone
serious	JJ	serious
but	CC	but
dialog	VB	dialog
flowered	JJ	flowered
incredible	JJ	incredible
wit	NN	wit
humor	NN	humor
simply	RB	simply
fun	NN	fun
watch	NN	watch
starting	VBG	start
season	NN	season
5	CD	5
series	NN	series
started	VBD	start
evolve	VB	evolve
continuing	VBG	continue
storyline	NN	storyline
based	VBD	base
fighting	VBG	fight
single	JJ	single
foe	NN	foe
goa'uld	NN	<unknown>
ori	NN	<unknown>
plots	NNS	plot
more	RBR	more
complex	JJ	complex
lot	NN	lot
more	RBR	more
political	JJ	political
strategic	JJ	strategic
oriented	JJ	oriented
interdependent	JJ	interdependent
characters	NNS	character
still	RB	still
as	RB	as
great	JJ	great
as	IN	as
but	CC	but
different	JJ	different
nature	NN	nature
thing	NN	thing
mentioned	VBD	mention
watch	NN	watch
episodes	NNS	episode
commemorated	VBD	commemorate
100th	JJ	100th
200th	JJ	<unknown>
episodes	NNS	episode
simply	RB	simply
ca	MD	ca
n't	RB	n't
miss	VB	miss
shows	NNS	show
exhibit	VB	exhibit
creative	JJ	creative
wildly	RB	wildly
humorous	JJ	humorous
genius	NN	genius
carried	VBD	carry
series	NN	series
10	CD	@card@
seasons	NNS	season
sci	NP	<unknown>
fi	NP	<unknown>
fan	NN	fan
watch	VBP	watch
few	JJ	few
episodes	NNS	episode
4	CD	4
seasons	NNS	season
you	PP	you
'll	MD	will
likely	RB	likely
hooked	VBN	hook
like	IN	like
evolving	VBG	evolve
story	NN	story
lines	NNS	line
opposing	VBG	oppose
sides	NNS	side
10	CD	@card@
seasons	NNS	season
shows	NNS	show
look	VBP	look
forward	RB	forward
