this	DT	this
amazing	JJ	amazing
documentary	NN	documentary
gives	VBZ	give
glimpse	NN	glimpse
lives	VBZ	live
brave	JJ	brave
women	NNS	woman
cameroun	NN	<unknown>
's	POS	's
judicial	JJ	judicial
policewomen	NNS	policewoman
lawyers	NNS	lawyer
judges	NNS	judge
despite	IN	despite
tremendous	JJ	tremendous
difficulties	NNS	difficulty
lack	NN	lack
means	VBZ	mean
desperate	JJ	desperate
poverty	NN	poverty
people	NNS	people
multiple	JJ	multiple
languages	NNS	language
multiple	JJ	multiple
legal	JJ	legal
precedents	NNS	precedent
depending	VBG	depend
region	NN	region
country	NN	country
religious	JJ	religious
ethnic	JJ	ethnic
background	NN	background
plaintiffs	NNS	plaintiff
defendants	NNS	defendant
brave	VBP	brave
strong	JJ	strong
women	NNS	woman
making	VBG	make
difference	NN	difference
rare	JJ	rare
thing	NN	thing
truly	RB	truly
inspiring	JJ	inspiring
restores	VBZ	restore
little	JJ	little
bit	NN	bit
faith	NN	faith
humankind	NN	humankind
despite	IN	despite
atrocities	NNS	atrocity
justice	NN	justice
does	VBZ	do
served	VBN	serve
thanks	NNS	thank
passionate	JJ	passionate
hardworking	VBG	hardwork
women	NNS	woman
hope	VBP	hope
film	NN	film
gets	VBZ	get
wide	RB	wide
release	VB	release
united	VBN	unite
states	NNS	state
more	JJR	more
people	NNS	people
film	NN	film
better	JJR	good
