what	WP	what
good	JJ	good
picture	NN	picture
revealing	VBG	reveal
unknown	JJ	unknown
rock	NN	rock
illusions	NNS	illusion
fame	NN	fame
well	RB	well
known	VBN	know
rockers	NNS	rocker
getting	VBG	get
old	JJ	old
forgotten	VBN	forget
not	RB	not
music	NN	music
good	JJ	good
sense	NN	sense
humour	NN	humour
danced	VBN	dance
haley	NP	Haley
's	POS	's
rock	NN	rock
clock	NN	clock
still	RB	still
crazy	JJ	crazy
probably	RB	probably
best	JJS	good
rock	NN	rock
n'roll	NN	<unknown>
seen	VBN	see
far	RB	far
much	RB	much
better	RBR	well
than	IN	than
spinal	JJ	spinal
tap	NN	tap
instance	NN	instance
still	RB	still
crazy	JJ	crazy
people	NNS	people
mature	VBP	mature
different	JJ	different
point	NN	point
view	NN	view
rock	NN	rock
love	NN	love
life	NN	life
want	VBP	want
catch	VB	catch
up	RP	up
crazy	JJ	crazy
youth	NN	youth
miss	VBP	miss
much	JJ	much
story	NN	story
itself	PP	itself
characters	VBZ	character
personality	NN	personality
weaknesses	NNS	weakness
dreams	NNS	dream
like	VBP	like
spend	VB	spend
good	JJ	good
time	NN	time
watching	VBG	watch
listen	NN	listen
awesome	JJ	awesome
soundtrack	NN	soundtrack
finally	RB	finally
thinking	VBG	think
future	JJ	future
bye	NN	bye
