a	DT	a
family	NN	family
moves	VBZ	move
old	JJ	old
house	NN	house
japan	NN	japan
but	CC	but
there	EX	there
's	VBZ	be
catch	NN	catch
it	PP	it
's	VBZ	have
haunted	VBN	haunt
boo	VB	boo
aw	NNS	<unknown>
did	VBD	do
n't	RB	n't
mean	VB	mean
make	VB	make
jump	VB	jump
it	PP	it
's	POS	's
review	NN	review
settle	VB	settle
ahem	NP	ahem
anyways	RB	anyways
it	PP	it
's	VBZ	be
haunted	VBN	haunt
old	JJ	old
samurai	FW	samurai
killed	VBN	kill
wife	NN	wife
lover	NN	lover
slow	JJ	slow
motion	NN	motion
naturally	RB	naturally
makes	VBZ	make
3	CD	3
minutes	NNS	minute
scene	NN	scene
stretch	VBP	stretch
7	CD	7
8	CD	8
horrid	JJ	horrid
acting	JJ	acting
horrid	JJ	horrid
story	NN	story
but	CC	but
bad	JJ	bad
ask	VBP	ask
well	RB	well
bad	JJ	bad
brain	NN	brain
started	VBD	start
melt	VB	melt
leak	NN	leak
nose	NN	nose
thoughtful	JJ	thoughtful
drips	NNS	drip
bad	JJ	bad
doug	NN	<unknown>
mcclure	NN	<unknown>
came	VBD	come
screen	NN	screen
prayed	VBD	pray
flashbacks	NNS	flashback
small	JJ	small
wonder	VBP	wonder
yes	RB	yes
know	VB	know
doug	NN	<unknown>
"	''	"
out	IN	out
world	NN	world
"	''	"
not	RB	not
"	``	"
small	JJ	small
wonder	NN	wonder
"	''	"
but	CC	but
it	PP	it
's	VBZ	be
pretty	RB	pretty
much	RB	much
damn	RB	damn
hum	VB	hum
"	``	"
small	JJ	small
wonder	NN	wonder
"	''	"
theme	NN	theme
better	RBR	well
bad	JJ	bad
they	PP	they
're	VBP	be
good	JJ	good
is	VBZ	be
n't	RB	n't
thosewhere	RB	<unknown>
saw	VBD	see
showtime	JJ	<unknown>
beyondmy	JJ	<unknown>
grade	NN	grade
f	SYM	f
eye	NN	eye
candy	NN	candy
mako	NN	mako
hattori	NN	<unknown>
gets	VBZ	get
topless	JJ	topless
susan	NN	<unknown>
george	NN	<unknown>
gets	VBZ	get
2	CD	2
love	NN	love
scenes	NNS	scene
nude	JJ	nude
just	RB	just
topless	JJ	topless
