it	PP	it
great	RB	great
but	CC	but
thats	NNS	<unknown>
wont	VBP	wont
more	JJR	more
than	IN	than
money	NN	money
fact	NN	fact
30	CD	@card@
40mins	NNS	<unknown>
kind	RB	kind
funny	JJ	funny
but	CC	but
story	NN	story
goes	VBZ	go
no	DT	no
particular	JJ	particular
reason	NN	reason
just	RB	just
cant	JJ	cant
understand	VBP	understand
whats	NNS	<unknown>
happening	VBG	happen
action	NN	action
gone	VBN	go
yet	RB	yet
producers	NNS	producer
roberto	NN	<unknown>
angel	NN	angel
salcedo	NN	<unknown>
calls	VBZ	call
actor	NN	actor
but	CC	but
do	VBP	do
n't	RB	n't
think	VB	think
way	NN	way
does	VBZ	do
called	VBN	call
nothing	NN	nothing
but	CC	but
overacting	VBG	overact
period	NN	period
little	JJ	little
kid	NN	kid
plays	VBZ	play
as	IN	as
son	NN	son
totally	RB	totally
no	DT	no
sense	NN	sense
acting	NN	acting
believe	VBP	believe
just	RB	just
favor	VB	favor
did	VBD	do
no	DT	no
clue	NN	clue
doing	VBG	do
reason	NN	reason
while	IN	while
doing	VBG	do
casting	NN	casting
thought	VBD	think
casting	VBG	cast
comedians	NNS	comedian
but	CC	but
did	VBD	do
n't	RB	n't
tasteless	JJ	tasteless
cheap	JJ	cheap
humor	NN	humor
bad	JJ	bad
do	VBP	do
n't	RB	n't
buy	VB	buy
but	CC	but
hopefully	RB	hopefully
as	RB	as
bad	JJ	bad
as	RB	as
gets	VBZ	get
make	VB	make
people	NNS	people
accept	VB	accept
dvd	NNS	<unknown>
's	POS	's
good	JJ	good
taste	NN	taste
public	JJ	public
offer	NN	offer
food	NN	food
work	NN	work
maka	NN	<unknown>
