if	IN	if
want	VB	want
serious	JJ	serious
laugh	NN	laugh
pain	NN	pain
watch	NN	watch
things	NNS	thing
bruce	NN	<unknown>
inflicts	VBZ	inflict
fellow	JJ	fellow
newscaster	NN	newscaster
deleted	VBN	delete
scenes	NNS	scene
priceless	JJ	priceless
do	VBP	do
n't	RB	n't
know	VB	know
did	VBD	do
n't	RB	n't
include	VB	include
original	JJ	original
ca	MD	ca
n't	RB	n't
time	VB	time
101	CD	@card@
minutes	NNS	minute
long	JJ	long
morgan	NN	<unknown>
freeman	NN	freeman
brilliant	JJ	brilliant
actor	NN	actor
overlooked	VBD	overlook
too	RB	too
long	JJ	long
jim	NN	<unknown>
carrey	NN	<unknown>
needs	VBZ	need
meds	NNS	<unknown>
