please	UH	please
help	VB	help
economy	NN	economy
spend	VB	spend
money	NN	money
synopsis	NN	synopsis
the	DT	the
lady	NN	lady
husband	NN	husband
assassinated	VBD	assassinate
cheating	NN	cheating
that	WDT	that
's	VBZ	be
undetected	JJ	undetected
except	IN	except
cuba	NP	Cuba
angie	NP	Angie
designs	NNS	design
implements	VBZ	implement
vast	JJ	vast
assassination	NN	assassination
conspiracy	NN	conspiracy
no	RB	no
knows	VBZ	know
gets	VBZ	get
away	RB	away
completely	RB	completely
free	JJ	free
specific	JJ	specific
points	NNS	point
particularly	RB	particularly
hilarious	JJ	hilarious
while	IN	while
standing	VBG	stand
president	NN	president
cuba	NN	<unknown>
deflects	VBZ	deflect
assassin	NN	assassin
's	POS	's
bullet	NN	bullet
enters	VBZ	enter
the	DT	the
president	NN	president
's	POS	's
head	NN	head
cuba	NN	<unknown>
angie	NN	<unknown>
watch	NN	watch
film	NN	film
news	NN	news
camera	NN	camera
clue	NN	clue
great	JJ	great
lengths	NNS	length
protect	VBP	protect
film	NN	film
believing	VBG	believe
people	NNS	people
copy	VB	copy
very	RB	very
public	JJ	public
film	NN	film
cuba	NN	<unknown>
speaks	VBZ	speak
presidential	JJ	presidential
staff	NN	staff
member	NN	member
psm	NN	<unknown>
comments	VBZ	comment
no	DT	no
conspiracy	NN	conspiracy
cuba	NN	<unknown>
claims	VBZ	claim
more	JJR	more
than	IN	than
person	NN	person
involved	VBN	involve
psm	NN	<unknown>
rants	NNS	rant
conspiracy	NN	conspiracy
includes	VBZ	include
fbi	NP	<unknown>
cia	NP	Cia
nsa	NP	<unknown>
gosh	NP	gosh
wonder	NN	wonder
psm	NN	<unknown>
involved	VBD	involve
ms	JJ	<unknown>
archer	NN	archer
lady	NN	lady
craptacular	JJ	<unknown>
artist	NN	artist
cuba	NN	<unknown>
ca	MD	ca
n't	RB	n't
make	VB	make
painting	NN	painting
says	VBZ	say
"	``	"
you	PP	you
're	VBP	be
too	RB	too
close	JJ	close
stand	NN	stand
look	VBP	look
different	JJ	different
perspective	NN	perspective
look	NN	look
perspective	NN	perspective
"	''	"
miss	VBP	miss
clue	NN	clue
