this	DT	this
wrote	VBD	write
film	NN	film
history	NN	history
way	NN	way
no	RB	no
cares	VBZ	care
thinks	VBZ	think
transcends	VBZ	transcend
criticism	NN	criticism
flaw	NN	flaw
easily	RB	easily
overcome	VBN	overcome
many	JJ	many
amazing	JJ	amazing
things	NNS	thing
going	VBG	go
it	PP	it
extremely	RB	extremely
beautiful	JJ	beautiful
doubt	NN	doubt
many	JJ	many
like	IN	like
again	RB	again
i	NNS	i
've	VBP	have
seen	VBN	see
more	JJR	more
times	NNS	time
than	IN	than
care	NN	care
count	NN	count
still	RB	still
transfixed	VBD	transfix
time	NN	time
feeling	VBG	feel
hard	JJ	hard
ages	NNS	age
