i	NP	i
would	MD	would
n't	RB	n't
say	VB	say
totally	RB	totally
sucked	VBN	suck
but	CC	but
was	VBD	be
n't	RB	n't
netflix	NN	<unknown>
would	MD	would
n't	RB	n't
house	VB	house
steve	NN	<unknown>
martin	NN	martin
's	POS	's
eccentric	JJ	eccentric
president	NN	president
chain	NN	chain
health	NN	health
food	NN	food
stores	NNS	store
falls	VBZ	fall
flat	JJ	flat
he	PP	he
's	VBZ	be
just	RB	just
not	RB	not
funny	JJ	funny
he	PP	he
's	VBZ	be
long	JJ	long
slew	NN	slew
snl	NN	<unknown>
rejects	VBZ	reject
work	VB	work
whoring	VBG	whore
snl	NN	<unknown>
birthing	VBG	birth
coach	NN	coach
elmer	NN	<unknown>
fudd	NNS	<unknown>
lisp	VBP	lisp
as	RB	as
funny	JJ	funny
as	IN	as
original	JJ	original
amy	NN	<unknown>
poehler	NN	<unknown>
simply	RB	simply
goes	VBZ	go
motions	NNS	motion
7	CD	7
minute	NN	minute
snl	NN	<unknown>
skit	NN	skit
as	IN	as
funny	JJ	funny
as	IN	as
snl	NN	<unknown>
lately	RB	lately
thing	NN	thing
going	VBG	go
tina	NN	<unknown>
fey	JJ	fey
easy	JJ	easy
eyes	NNS	eye
ending	VBG	end
predictable	JJ	predictable
as	IN	as
soon	RB	soon
as	RB	as
heard	VBN	hear
character	NN	character
could	MD	could
n't	RB	n't
pregnant	JJ	pregnant
subject	JJ	subject
matter	NN	matter
opened	VBD	open
up	RP	up
comedic	JJ	comedic
attempts	NNS	attempt
but	CC	but
simple	JJ	simple
simmer	NN	simmer
not	RB	not
really	RB	really
entertaining	JJ	entertaining
creating	VBG	create
laughs	NNS	laugh
