i	NP	i
rented	VBD	rent
this	DT	this
past	JJ	past
weekend	NN	weekend
cranked	VBD	crank
up	RP	up
surround	NN	surround
sound	NN	sound
got	VBD	get
great	JJ	great
sound	JJ	sound
special	NN	special
affects	VBZ	affect
great	JJ	great
rental	JJ	rental
special	NN	special
affects	VBZ	affect
enough	RB	enough
scare	VB	scare
fiance	NN	fiance
but	CC	but
noticed	VBN	notice
looked	VBD	look
suprisingly	RB	suprisingly
generated	VBN	generate
did	VBD	do
n't	RB	n't
but	CC	but
scary	JJ	scary
late	JJ	late
night	NN	night
do	VBP	do
n't	RB	n't
feel	VB	feel
like	IN	like
going	VBG	go
recommend	VB	recommend
