this	DT	this
almost	RB	almost
certainly	RB	certainly
worst	JJS	bad
western	JJ	western
i	NNS	i
've	VBP	have
seen	VBN	see
story	NN	story
follows	VBZ	follow
formula	NN	formula
especially	RB	especially
common	JJ	common
westerns	NNS	western
martial	JJ	martial
arts	NNS	art
films	NNS	film
hero	NN	hero
learns	VBZ	learn
family	NN	family
friends	NNS	friend
murdered	VBN	murder
hero	NN	hero
sets	VBZ	set
exact	JJ	exact
revenge	NN	revenge
foils	VBZ	foil
ineffective	JJ	ineffective
lawman	NN	lawman
rescues	NNS	rescue
kidnapped	VBD	kidnap
loving	JJ	loving
damsel	NN	damsel
murders	NNS	murder
expert	NN	expert
arch	NN	arch
nemesis	NN	nemesis
brutal	JJ	brutal
duel	NN	duel
formula	NN	formula
often	RB	often
successful	JJ	successful
would	MD	would
n't	RB	n't
formula	NN	formula
but	CC	but
gunfighter	NN	gunfighter
most	RBS	most
sophomoric	JJ	sophomoric
execution	NN	execution
you	PP	you
'll	MD	will
scripting	VBG	script
atrociously	RB	atrociously
simple	JJ	simple
minded	JJ	minded
insulting	JJ	insulting
sounds	NNS	sound
like	IN	like
high	JJ	high
schooler	NN	schooler
wrote	VBD	write
dialogue	NN	dialogue
lacks	VBZ	lack
depth	NN	depth
maturity	NN	maturity
realism	NN	realism
sound	JJ	sound
bad	JJ	bad
looks	NNS	look
dubbed	VBD	dub
cinematography	NN	cinematography
lame	NN	lame
sets	VBZ	set
just	RB	just
facades	NNS	facade
acting	VBG	act
pitiful	JJ	pitiful
sure	JJ	sure
performers	NNS	performer
blame	VBP	blame
script	NN	script
but	CC	but
cannot	MD	can
use	VB	use
excuse	NN	excuse
hope	VBP	hope
never	RB	never
chris	NN	<unknown>
lybbert	NN	<unknown>
speaking	VBG	speak
role	NN	role
again	RB	again
time	NN	time
says	VBZ	say
line	NN	line
angry	JJ	angry
mean	NN	mean
does	VBZ	do
nothing	NN	nothing
more	RBR	more
than	IN	than
lower	JJR	low
timbre	NN	timbre
voice	NN	voice
just	RB	just
sounds	VBZ	sound
like	IN	like
kid	NN	kid
trying	VBG	try
act	NN	act
macho	NN	macho
speaking	VBG	speak
chris	NN	<unknown>
lybbert	NN	<unknown>
plays	VBZ	play
hopalong	JJ	<unknown>
check	NN	check
duds	NNS	dud
dare	VBP	dare
watch	NN	watch
film	NN	film
wears	VBZ	wear
brand	NN	brand
new	JJ	new
clothes	NNS	clothes
make	VBP	make
look	VB	look
more	RBR	more
like	IN	like
roy	NN	<unknown>
rogers	NNS	<unknown>
than	IN	than
hard	RB	hard
working	VBG	work
dirty	JJ	dirty
cowboy	NN	cowboy
enjoy	VBP	enjoy
inane	JJ	inane
cinematic	JJ	cinematic
fare	NN	fare
serves	VBZ	serve
merely	RB	merely
worship	VB	worship
imagined	VBN	imagine
grandeur	NN	grandeur
hopalong	NN	<unknown>
cassidy	NN	<unknown>
but	CC	but
more	JJR	more
than	IN	than
neurons	NNS	neuron
watch	VBP	watch
