the	DT	the
truly	RB	truly
poignant	JJ	poignant
unique	JJ	unique
uplifting	VBG	uplift
story	NN	story
universal	JJ	universal
it	PP	it
's	VBZ	be
battle	NN	battle
good	JJ	good
evil	JJ	evil
world	NN	world
most	RBS	most
important	JJ	important
thing	NN	thing
rating	NN	rating
wrong	JJ	wrong
misleading	VBG	mislead
travesty	NN	travesty
blockbuster	NN	blockbuster
rated	VBN	rate
as	IN	as
though	RB	though
x	SYM	x
rated	VBN	rate
truth	NN	truth
is	VBZ	be
closer	JJR	close
g	NN	g
than	IN	than
pg	NN	<unknown>
seen	VBN	see
children	NNS	child
read	VBP	read
clear	JJ	clear
simple	JJ	simple
sub	NN	sub
titles	NNS	title
