yes	UH	yes
mtv	NN	<unknown>
really	RB	really
way	NN	way
market	NN	market
daria	NNS	<unknown>
started	VBN	start
as	IN	as
clever	JJ	clever
teenage	JJ	teenage
angst	NN	angst
"	''	"
comment	NN	comment
sucks	VBZ	suck
make	VB	make
viewer	NN	viewer
feel	VBP	feel
better	RBR	well
sucky	JJ	<unknown>
teenage	JJ	teenage
life	NN	life
"	''	"
sitcom	NN	sitcom
mutated	VBN	mutate
"	``	"
how	WRB	how
deal	NN	deal
problems	NNS	problem
"	''	"
charade	NN	charade
used	VBD	use
watch	NN	watch
daria	NNS	<unknown>
all	DT	all
time	NN	time
loved	VBD	love
sitting	VBG	sit
watching	NN	watching
called	VBN	call
"	``	"
movie	NN	movie
"	''	"
wonder	VBP	wonder
point	NN	point
all	DT	all
daria	NN	<unknown>
tells	VBZ	tell
lead	JJ	lead
life	NN	life
college	NN	college
excuse	NN	excuse
did	VBD	do
n't	RB	n't
point	VB	point
daria	NN	<unknown>
episode	NN	episode
like	IN	like
ok	VB	ok
as	RB	as
long	RB	long
as	RB	as
ok	VB	ok
no	DT	no
matter	NN	matter
rest	NN	rest
sick	JJ	sick
sad	JJ	sad
world	NN	world
thinks	VBZ	think
entire	JJ	entire
thing	NN	thing
reminded	VBD	remind
scene	NN	scene
"	``	"
reality	NN	reality
bites	VBZ	bite
"	``	"
channel	NN	channel
shows	VBZ	show
documentry	NN	<unknown>
time	NN	time
