i	NP	i
bought	VBD	buy
gamestop	NN	<unknown>
's	POS	's
discount	NN	discount
used	VBD	use
bin	NN	bin
cover	VB	cover
caused	VBN	cause
laugh	NN	laugh
uncontrollably	RB	uncontrollably
bought	VBD	buy
99cents	NNS	<unknown>
itself	PP	itself
retarded	VBD	retard
use	NN	use
like	IN	like
different	JJ	different
monkeys	NNS	monkey
whole	JJ	whole
film	NN	film
hardly	RB	hardly
look	VBP	look
alike	RB	alike
not	RB	not
mention	VB	mention
use	NN	use
stunt	NN	stunt
double	RB	double
just	RB	just
short	JJ	short
guy	NN	guy
costume	NN	costume
making	VBG	make
desperate	JJ	desperate
attempt	NN	attempt
impersonate	VB	impersonate
monkey	NN	monkey
director	NN	director
more	JJR	more
than	IN	than
likely	JJ	likely
committed	JJ	committed
murder	NN	murder
suicide	NN	suicide
chimpanzees	NNS	chimpanzee
debuted	VBD	debut
preview	NN	preview
low	JJ	low
rent	NN	rent
warner	NN	warner
bros	NNS	<unknown>
film	NN	film
ended	VBD	end
up	RP	up
owing	VBG	owe
money	NN	money
studio	NN	studio
does	VBZ	do
n't	RB	n't
help	VB	help
was	VBD	be
n't	RB	n't
infamous	JJ	infamous
terrible	JJ	terrible
job	NN	job
did	VBD	do
was	VBD	be
n't	RB	n't
known	VBN	know
producing	VBG	produce
poop	NN	poop
chute	NN	chute
film	NN	film
