i	NP	i
was	VBD	be
n't	RB	n't
sure	RB	sure
expect	VB	expect
but	CC	but
glad	JJ	glad
went	VBD	go
smart	RB	smart
slightly	RB	slightly
twisted	VBN	twist
comedy	NN	comedy
makes	NNS	make
think	VBP	think
was	VBD	be
n't	RB	n't
quite	RB	quite
sure	JJ	sure
director	NN	director
create	VB	create
"	``	"
nothing	NN	nothing
"	''	"
but	CC	but
leave	VB	leave
mr	NN	Mr
natali	NNS	<unknown>
brilliant	JJ	brilliant
individuals	NNS	individual
c	SYM	c
o	NN	o
r	NN	r
e	NN	e
create	VBP	create
low	JJ	low
budget	NN	budget
set	NN	set
looks	VBZ	look
real	JJ	real
as	IN	as
real	JJ	real
as	IN	as
nothing	NN	nothing
well	RB	well
worth	JJ	worth
time	NN	time
money	NN	money
opportunity	NN	opportunity
you	PP	you
'll	MD	will
glad	VB	glad
did	VBD	do
