i	NP	i
generally	RB	generally
do	VBP	do
n't	RB	n't
worry	VB	worry
much	JJ	much
violence	NN	violence
films	NNS	film
vast	JJ	vast
philosophy	NN	philosophy
symbolism	NN	symbolism
psychology	NN	psychology
all	RB	all
very	RB	very
well	RB	well
film	NN	film
brings	VBZ	bring
lot	RB	lot
beautiful	JJ	beautiful
pictures	NNS	picture
especially	RB	especially
lake	NN	lake
nature	NN	nature
good	JJ	good
setting	NN	setting
characters	NNS	character
good	JJ	good
direction	NN	direction
film	NN	film
voted	VBD	vote
as	IN	as
good	JJ	good
film	NN	film
however	RB	however
spoiled	VBD	spoil
reasons	NNS	reason
reasons	NNS	reason
relation	NN	relation
make	VBP	make
film	NN	film
simply	RB	simply
disgusting	VBG	disgust
all	DT	all
violence	NN	violence
used	VBN	use
against	IN	against
living	VBG	live
creatures	NNS	creature
make	VB	make
film	NN	film
not	RB	not
violence	NN	violence
talking	VBG	talk
real	JJ	real
violence	NN	violence
violence	NN	violence
maybe	RB	maybe
justified	VBN	justify
not	RB	not
thats	NNS	<unknown>
reason	NN	reason
number	NN	number
message	NN	message
film	NN	film
not	RB	not
mere	JJ	mere
introspection	NN	introspection
directors	NNS	director
twisted	JJ	twisted
relation	NN	relation
women	NNS	woman
not	RB	not
all	RB	all
do	VB	do
n't	RB	n't
real	JJ	real
twists	NNS	twist
women	NNS	woman
respectively	RB	respectively
men	NNS	man
but	CC	but
conclusion	NN	conclusion
film	NN	film
ruins	VBZ	ruin
all	DT	all
spoiler	NN	spoiler
"	``	"
heroine	NN	heroine
"	''	"
finally	RB	finally
dies	VBZ	die
hand	RB	hand
remember	VB	remember
correctly	RB	correctly
saw	VBD	see
film	NN	film
years	NNS	year
ago	RB	ago
enraged	VBD	enrage
guy	NN	guy
new	JJ	new
film	NN	film
witch	NN	witch
certainly	RB	certainly
not	RB	not
going	VBG	go
watch	VB	watch
more	RBR	more
clearly	RB	clearly
depicted	VBN	depict
as	IN	as
kind	JJ	kind
natural	JJ	natural
demon	NN	demon
nature	NN	nature
growing	VBG	grow
particular	JJ	particular
sex	NN	sex
course	NN	course
director	NN	director
"	``	"
kills	VBZ	kill
"	``	"
women	NNS	woman
heroine	NN	heroine
women	NNS	woman
die	VBP	die
especially	RB	especially
men	NNS	man
attracted	VBD	attract
sexuality	NN	sexuality
final	JJ	final
conclusion	NN	conclusion
end	NN	end
spoiler	NN	spoiler
well	RB	well
well	RB	well
all	DT	all
possibly	RB	possibly
fine	JJ	fine
director	NN	director
kept	VBD	keep
view	VB	view
himself	PP	himself
but	CC	but
use	VB	use
big	JJ	big
pictures	NNS	picture
artsy	NN	artsy
directions	NN	directions
cruelty	NN	cruelty
living	VBG	live
creatures	NNS	creature
just	RB	just
say	VBP	say
men	NNS	man
frightened	VBD	frighten
women	NNS	woman
men	NNS	man
cruel	JJ	cruel
women	NNS	woman
thats	NNS	<unknown>
just	RB	just
not	RB	not
enough	RB	enough
knew	VBD	know
saw	NN	saw
film	NN	film
achieve	VB	achieve
good	JJ	good
critics	NNS	critic
"	``	"
philosophical	JJ	philosophical
eastern	JJ	eastern
artistic	JJ	artistic
"	''	"
approach	NN	approach
but	CC	but
film	NN	film
just	RB	just
totally	RB	totally
marred	VBN	mar
