this	DT	this
list	NN	list
not	RB	not
bother	VB	bother
saw	VBD	see
40	CD	@card@
years	NNS	year
ago	RB	ago
as	IN	as
adolescent	NN	adolescent
stayed	VBD	stay
up	RP	up
late	RB	late
very	RB	very
annoyed	VBD	annoy
95	CD	@card@
%	NN	%
romance	NN	romance
4	CD	4
%	NN	%
1	CD	1
%	NN	%
history	NN	history
it	PP	it
's	VBZ	be
bait	NN	bait
switch	NN	switch
interesting	JJ	interesting
title	NN	title
actual	JJ	actual
scam	NN	scam
subject	NN	subject
deserves	VBZ	deserve
good	JJ	good
cinematic	JJ	cinematic
treatment	NN	treatment
almost	RB	almost
insult	VB	insult
served	VBN	serve
actual	JJ	actual
members	NNS	member
lafayette	NN	<unknown>
escadrille	NN	escadrille
not	RB	not
run	VBN	run
law	NN	law
nor	CC	nor
products	NNS	product
abusive	JJ	abusive
homes	NNS	home
reality	NN	reality
idealists	NNS	idealist
wanted	VBD	want
to	TO	to
help	VB	help
france	NN	<unknown>
suspect	NN	suspect
many	RB	many
came	VBD	come
more	JJR	more
upper	JJ	upper
class	NN	class
background	NN	background
than	IN	than
tab	NN	tab
hunter	NN	hunter
's	POS	's
character	NN	character
flying	VBG	fly
school	NN	school
not	RB	not
smart	JJ	smart
alecks	NNS	aleck
know	VBP	know
alls	NNS	all
individual	JJ	individual
as	IN	as
portrayed	VBN	portray
would	MD	would
n't	RB	n't
lasted	VBD	last
days	NNS	day
either	CC	either
stockade	NN	stockade
infantry	NN	infantry
discipline	NN	discipline
french	NN	French
army	NN	army
often	RB	often
fierce	JJ	fierce
short	JJ	short
hollywierd	NN	<unknown>
version	NN	version
historical	JJ	historical
episode	NN	episode
deserves	VBZ	deserve
proper	JJ	proper
treatment	NN	treatment
