where	WRB	where
start	VBP	start
probably	RB	probably
worst	RB	worst
seen	VBN	see
editing	VBG	edit
worst	JJS	bad
sound	JJ	sound
effects	NNS	effect
awful	JJ	awful
sound	NN	sound
editing	VBG	edit
whacked	VBN	whack
most	RBS	most
all	RB	all
crappy	JJ	<unknown>
kicking	VBG	kick
effects	NNS	effect
muddled	VBD	muddle
talking	VBG	talk
background	NN	background
turn	NN	turn
volume	NN	volume
full	JJ	full
blast	NN	blast
just	RB	just
going	VBG	go
supposed	JJ	supposed
hear	VBP	hear
exactly	RB	exactly
probably	RB	probably
worst	JJS	bad
scripts	NNS	script
ca	MD	ca
n't	RB	n't
believe	VB	believe
people	NNS	people
actually	RB	actually
up	RB	up
green	JJ	green
film	NN	film
makes	VBZ	make
think	VB	think
crap	NN	crap
box	NN	box
send	VBP	send
producers	NNS	producer
finance	VB	finance
dolph	NN	<unknown>
usual	JJ	usual
dolph	NN	<unknown>
nothing	NN	nothing
needs	NNS	need
said	VBD	say
villains	NNS	villain
bad	JJ	bad
protagonists	NNS	protagonist
bad	JJ	bad
stinker	NN	stinker
really	RB	really
want	VBP	want
know	VB	know
not	RB	not
either	CC	either
writing	VBG	write
directing	NN	directing
editing	VBG	edit
watch	NN	watch
