this	DT	this
fabulous	JJ	fabulous
viewed	VBN	view
knowing	JJ	knowing
millions	NNS	million
scraped	VBD	scrape
10	CD	@card@
cents	NNS	cent
forget	VBP	forget
gloomy	JJ	gloomy
day	NN	day
day	NN	day
economic	JJ	economic
conditions	NNS	condition
30	NP	@card@
's	POS	's
remember	VBP	remember
10	CD	@card@
cents	NNS	cent
bought	VBD	buy
loaf	NN	loaf
bread	NN	bread
minor	JJ	minor
luxury	NN	luxury
many	JJ	many
people	NNS	people
it	PP	it
's	VBZ	be
testimony	NN	testimony
hollywood	NN	<unknown>
did	VBD	do
best	RBS	well
make	VBP	make
usa	NNS	<unknown>
feel	VBP	feel
little	RB	little
better	VB	better
itself	PP	itself
you	PP	you
'll	MD	will
note	VB	note
studio	NN	studio
hollywood	NN	<unknown>
time	NN	time
many	JJ	many
actors	NNS	actor
actresses	NNS	actress
type	NN	type
cast	VBD	cast
similar	JJ	similar
e	NN	e
g	NN	g
james	VBZ	<unknown>
cagney	NP	Cagney
william	NP	William
powell	NP	Powell
ruby	JJ	ruby
keeler	NN	<unknown>
frank	JJ	frank
mchugh	NN	<unknown>
joan	NN	<unknown>
blondell	NN	<unknown>
guy	NN	guy
kibbee	NN	<unknown>
too	RB	too
branches	VBZ	branch
u	NN	u
s	NNS	<unknown>
military	JJ	military
always	RB	always
respected	JJ	respected
enthusiasm	NN	enthusiasm
patriotism	NN	patriotism
as	IN	as
use	NN	use
military	JJ	military
precision	NN	precision
marching	VBG	march
great	JJ	great
choreographer	NN	choreographer
busby	NN	busby
berkeley	NN	Berkeley
end	NN	end
