a	DT	a
major	JJ	major
moneymaker	NN	moneymaker
rko	NN	<unknown>
radio	NN	radio
bombardier	NN	bombardier
stars	NNS	star
pat	JJ	pat
o'brien	NP	O'brien
randolph	NN	<unknown>
scott	NN	<unknown>
as	IN	as
trainers	NNS	trainer
school	NN	school
bomber	NN	bomber
pilots	NNS	pilot
o'brien	NP	O'brien
scott	NP	Scott
argue	VBP	argue
teaching	NN	teaching
methods	NNS	method
while	IN	while
students	NNS	student
vie	VBP	vie
affections	NNS	affection
anne	NN	<unknown>
shirley	NP	Shirley
o'brien	NP	O'brien
's	POS	's
methods	NNS	method
prove	VBP	prove
sound	JJ	sound
bombing	NN	bombing
raid	NN	raid
tokyo	NP	Tokyo
scott	NP	Scott
crew	NN	crew
captured	VBD	capture
tortured	JJ	tortured
japanese	NN	Japanese
but	CC	but
mortally	RB	mortally
wounded	VBN	wound
scott	NN	<unknown>
manages	VBZ	manage
set	VBN	set
gas	NN	gas
truck	NN	truck
providing	VBG	provide
perfect	JJ	perfect
target	NN	target
fellow	NN	fellow
bombardiers	NNS	bombardier
stylistically	RB	stylistically
bombardier	NN	bombardier
most	RBS	most
schizophrenic	JJ	schizophrenic
war	NN	war
films	NNS	film
moments	NNS	moment
subtle	JJ	subtle
poignancy	NN	poignancy
death	NN	death
trainee	NN	trainee
eddie	NN	<unknown>
albert	NN	albert
alternating	VBG	alternate
scenes	NNS	scene
ludicrous	JJ	ludicrous
"	``	"
yellow	JJ	yellow
peril	NN	peril
"	''	"
melodrama	NN	melodrama
japanese	NNS	Japanese
literally	RB	literally
hiss	VBP	hiss
teeth	NNS	tooth
as	RB	as
torture	VBP	torture
helpless	JJ	helpless
americans	NNS	American
though	RB	though
ca	MD	ca
n't	RB	n't
help	VB	help
but	CC	but
dated	JJ	dated
today	NN	today
bombardier	NN	bombardier
remains	VBZ	remain
entertaining	JJ	entertaining
propaganda	NN	propaganda
effort	NN	effort
film	NN	film
erroneously	RB	erroneously
listed	VBN	list
as	IN	as
debut	NN	debut
robert	NN	<unknown>
ryan	NN	<unknown>
who	WP	who
'd	VBD	have
actually	RB	actually
appearing	VBG	appear
cameras	NNS	camera
1940	CD	@card@
interested	JJ	interested
obtaining	VBG	obtain
copy	NN	copy
film	NN	film
contact	NN	contact
iamaseal2	JJ	<unknown>
yahoo	NN	yahoo
com	NN	com
