i	NP	i
cannot	MD	can
believe	VB	believe
wasted	VBN	waste
80	CD	@card@
minutes	NNS	minute
life	NN	life
watching	VBG	watch
terrible	JJ	terrible
film	NN	film
kept	VBD	keep
hoping	VBG	hope
going	VBG	go
better	JJR	good
end	NN	end
but	CC	but
boy	NN	boy
wrong	JJ	wrong
plot	NN	plot
abysmal	JJ	abysmal
acting	VBG	act
extremely	RB	extremely
poor	JJ	poor
special	JJ	special
effects	NNS	effect
awful	JJ	awful
not	RB	not
2	CD	2
beautiful	JJ	beautiful
girls	NNS	girl
revive	VBP	revive
interest	NN	interest
boring	VBG	bore
bloody	JJ	bloody
mess	NN	mess
however	RB	however
cannot	MD	can
lie	VB	lie
lines	NNS	line
film	NN	film
quite	RB	quite
memorable	JJ	memorable
as	IN	as
asian	JJ	Asian
boy	NN	boy
says	VBZ	say
'	''	'
'	''	'
lost	VBD	lose
virginity	NN	virginity
babysitter	NN	babysitter
f	NN	f
stereotypes	NNS	stereotype
'	''	'
'	''	'
please	VBP	please
not	RB	not
waste	VB	waste
time	NN	time
crash	NN	crash
unless	IN	unless
u	NN	u
prepared	JJ	prepared
want	VBP	want
good	RB	good
laugh	VB	laugh
maybe	RB	maybe
way	NN	way
u	NN	u
watch	NN	watch
rip	NN	rip
mates	NNS	mate
