i	NP	i
purchased	VBD	purchase
video	NN	video
quite	RB	quite
cheaply	RB	cheaply
ex	JJ	ex
rental	JJ	rental
thinking	NN	thinking
cover	NN	cover
looked	VBD	look
quite	RB	quite
nice	JJ	nice
nice	JJ	nice
but	CC	but
trash	VB	trash
handle	VB	handle
b	NN	b
grade	NN	grade
enjoy	VBP	enjoy
good	JJ	good
b	NN	b
romp	NN	romp
'	POS	'
surf	NN	surf
nazis	NN	<unknown>
die	NN	die
'	POS	'
classic	JJ	classic
example	NN	example
entertaining	JJ	entertaining
genre	NN	genre
but	CC	but
just	RB	just
bland	JJ	bland
bland	JJ	bland
bland	JJ	bland
incredibly	RB	incredibly
dull	JJ	dull
scenes	NNS	scene
broken	VBN	break
up	RP	up
too	RB	too
sparsely	RB	sparsely
good	JJ	good
wholesome	JJ	wholesome
cheap	JJ	cheap
porn	NN	porn
entertaining	JJ	entertaining
dream	NN	dream
horror	NN	horror
sequences	NNS	sequence
very	RB	very
little	JJ	little
offer	NN	offer
