the	DT	the
scintillating	VBG	scintillate
elizabeth	NN	<unknown>
taylor	NN	<unknown>
stars	VBZ	star
lesser	JJR	lesser
known	VBN	know
classic	JJ	classic
as	IN	as
young	JJ	young
girl	NN	girl
london	NN	<unknown>
falls	VBZ	fall
love	NN	love
tea	NN	tea
plantation	NN	plantation
owner	NN	owner
british	JJ	British
ceylon	NN	<unknown>
current	JJ	current
day	NN	day
sri	NN	sri
lanka	NN	<unknown>
arrival	NN	arrival
instantly	RB	instantly
feels	VBZ	feel
place	VB	place
forced	VBN	force
adapt	VBP	adapt
new	JJ	new
culture	NN	culture
as	RB	as
well	RB	well
as	IN	as
constant	JJ	constant
awareness	NN	awareness
angry	JJ	angry
elephant	NN	elephant
herd	NN	herd
william	NP	William
dieterle	NP	Dieterle
directed	VBD	direct
life	NN	life
emile	NN	<unknown>
zola	NN	<unknown>
portrait	NN	portrait
jennie	NN	<unknown>
does	VBZ	do
masterful	JJ	masterful
job	NN	job
bringing	VBG	bring
somewhat	RB	somewhat
dark	JJ	dark
almost	RB	almost
eerie	JJ	eerie
undertone	NN	undertone
romance	NN	romance
setting	VBG	set
most	JJS	most
beautiful	JJ	beautiful
i	NNS	i
've	VBP	have
seen	VBN	see
black	JJ	black
white	JJ	white
themed	VBN	them
mansion	NN	mansion
gorgeous	JJ	gorgeous
island	NN	island
scenery	NN	scenery
