the	DT	the
latest	JJS	late
rumor	NN	rumor
going	VBG	go
vh1	JJ	<unknown>
starting	VBG	start
casting	NN	casting
calls	NNS	call
love	VBP	love
new	JJ	new
york	VBP	york
3	CD	3
mid	NN	mid
2008	CD	@card@
does	VBZ	do
mean	JJ	mean
budah	NN	<unknown>
tailor	NN	tailor
dumped	VBN	dump
new	JJ	new
york	VBP	york
does	VBZ	do
mean	VB	mean
new	JJ	new
york	VBP	york
dumped	VBN	dump
winner	NN	winner
know	VBP	know
flavor	NN	flavor
love	NN	love
coming	VBG	come
up	IN	up
it	PP	it
's	POS	's
3rd	JJ	3rd
season	NN	season
flavor	NN	flavor
love	VBP	love
3	CD	3
love	NN	love
new	JJ	new
york	VBP	york
3	CD	3
true	JJ	true
winner	NN	winner
i	NNS	i
've	VBP	have
heard	VBN	hear
few	JJ	few
rumors	NNS	rumor
chance	NN	chance
brought	VBD	bring
3rd	JJ	3rd
season	NN	season
love	NN	love
new	JJ	new
york	VBP	york
heard	VBN	hear
rumors	NNS	rumor
new	JJ	new
york	VBP	york
specially	RB	specially
featured	JJ	featured
flavor	NN	flavor
love	VBP	love
3	CD	3
hopefully	RB	hopefully
not	RB	not
too	RB	too
much	JJ	much
spoiler	NN	spoiler
ending	VBG	end
love	NN	love
new	JJ	new
york	VBP	york
2	CD	2
i	NP	i
'm	VBP	be
just	RB	just
stating	VBG	state
latest	JJS	late
rumor	NN	rumor
