this	DT	this
tough	JJ	tough
watch	NN	watch
as	IN	as
earlier	JJR	early
reviewer	NN	reviewer
says	VBZ	say
amazing	JJ	amazing
considering	VBG	consider
terrible	JJ	terrible
films	NNS	film
came	VBD	come
right	JJ	right
wwii	NNS	<unknown>
particularly	RB	particularly
"	``	"
liberation	NN	liberation
"	''	"
dachau	NN	<unknown>
clear	JJ	clear
as	IN	as
middle	JJ	middle
war	NN	war
knew	VBD	know
exactly	RB	exactly
happening	VBG	happen
jews	NN	<unknown>
sequence	NN	sequence
shows	VBZ	show
"	``	"
transport	NN	transport
"	''	"
vivid	JJ	vivid
almost	RB	almost
as	RB	as
based	VBN	base
actual	JJ	actual
newsreel	NN	newsreel
nazis	NNS	Nazi
liked	VBD	like
record	NN	record
atrocities	NNS	atrocity
knox	NN	<unknown>
as	IN	as
nazi	NP	Nazi
brilliant	JJ	brilliant
charts	NNS	chart
course	NN	course
nazi	NN	Nazi
career	NN	career
charting	VBG	chart
particularly	RB	particularly
telling	VBG	tell
contrasted	VBN	contrast
reactions	NNS	reaction
germans	NNS	german
laughing	VBG	laugh
hitler	NN	<unknown>
incredulous	JJ	incredulous
finally	RB	finally
helpless	JJ	helpless
contrast	NN	contrast
however	RB	however
permits	VBZ	permit
believe	VB	believe
"	``	"
conversion	NN	conversion
"	''	"
young	JJ	young
nazi	NN	Nazi
officer	NN	officer
anti	JJ	anti
nazi	NN	Nazi
stance	NN	stance
did	VBD	do
happen	VB	happen
as	IN	as
witness	NN	witness
attempts	NNS	attempt
against	IN	against
hitler	NN	<unknown>
most	RBS	most
notably	RB	notably
staffenberg	NP	<unknown>
plot	NN	plot
occurred	VBD	occur
as	IN	as
film	NN	film
coming	VBG	come
strong	JJ	strong
film	NN	film
effectively	RB	effectively
using	VBG	use
flashbacks	NNS	flashback
accurately	RB	accurately
predicting	VBG	predict
nuremburg	NN	<unknown>
trails	NNS	trail
occur	VBP	occur
war	NN	war
ended	VBN	end
