when	WRB	when
comes	VBZ	come
horror	NN	horror
more	RBR	more
than	IN	than
willing	JJ	willing
suspend	VB	suspend
disbelief	NN	disbelief
ignore	VB	ignore
sub	NN	sub
par	NN	par
production	NN	production
values	NNS	value
overlook	VBP	overlook
plot	NN	plot
holes	NNS	hole
interest	NN	interest
good	JJ	good
scare	NN	scare
simply	RB	simply
no	RB	no
good	JJ	good
scares	NNS	scare
offer	NN	offer
ca	MD	ca
n't	RB	n't
enjoyed	VBN	enjoy
as	IN	as
camp	JJ	camp
bad	JJ	bad
dialogue	NN	dialogue
bad	JJ	bad
acting	VBG	act
bad	JJ	bad
direction	NN	direction
kills	VBZ	kill
predictable	JJ	predictable
poorly	RB	poorly
staged	VBN	stage
music	NN	music
annoying	VBG	annoy
camera	NN	camera
work	NN	work
wretched	JJ	wretched
costumes	NNS	costume
bad	JJ	bad
felt	VBD	feel
really	RB	really
bad	JJ	bad
actors	NNS	actor
obviously	RB	obviously
trying	VBG	try
but	CC	but
deal	VB	deal
terrible	JJ	terrible
contrived	JJ	contrived
dialogue	NN	dialogue
obvious	JJ	obvious
lack	NN	lack
direction	NN	direction
doubt	NN	doubt
got	VBD	get
any	DT	any
rehearsal	NN	rehearsal
either	CC	either
it	PP	it
's	VBZ	be
embarrassing	VBG	embarrass
watch	NN	watch
boring	VBG	bore
than	IN	than
making	VBG	make
contrived	JJ	contrived
"	``	"
surprise	NN	surprise
"	''	"
ending	NN	ending
requires	VBZ	require
tremendous	JJ	tremendous
endurance	NN	endurance
it	PP	it
's	VBZ	be
quite	RB	quite
easily	RB	easily
worst	JJS	bad
i	NNS	i
've	VBP	have
seen	VBN	see
do	VBP	do
n't	RB	n't
normally	RB	normally
write	VB	write
reviews	NNS	review
but	CC	but
bad	JJ	bad
felt	VBD	feel
compelled	VBN	compel
warn	VBP	warn
complete	JJ	complete
waste	NN	waste
time	NN	time
watch	NN	watch
do	VBP	do
n't	RB	n't
miss	VB	miss
"	``	"
making	VBG	make
of	IN	of
"	``	"
featurette	NN	<unknown>
writer	NN	writer
director	NN	director
under	IN	under
impression	NN	impression
making	VBG	make
killer	NN	killer
woman	NN	woman
kind	NN	kind
bold	JJ	bold
daring	JJ	daring
seen	VBN	see
cast	NN	cast
spend	VB	spend
half	DT	half
hour	NN	hour
deconstructing	VBG	<unknown>
film	NN	film
as	IN	as
it	PP	it
's	POS	's
new	JJ	new
age	NN	age
"	''	"
citizen	NN	citizen
kane	NN	<unknown>
"	``	"
it	PP	it
's	VBZ	be
like	IN	like
listening	VBG	listen
group	NN	group
graders	NNS	grader
scenes	NNS	scene
christmas	NNS	<unknown>
pageant	NN	pageant
truly	RB	truly
think	VBP	think
they	PP	they
've	VBP	have
created	VBN	create
substance	NN	substance
it	PP	it
's	VBZ	be
sad	JJ	sad
really	RB	really
reason	NN	reason
gave	VBD	give
"	``	"
2	CD	2
"	''	"
think	VBP	think
"	``	"
1	CD	1
"	''	"
reserved	VBN	reserve
true	JJ	true
atrocities	NNS	atrocity
like	IN	like
"	``	"
manos	NNS	<unknown>
hands	NNS	hand
fate	NN	fate
"	''	"
"	``	"
space	NN	space
mutiny	NN	mutiny
"	''	"
"	``	"
american	NN	American
nightmare	NN	nightmare
"	``	"
is	VBZ	be
n't	RB	n't
worst	JJS	bad
i	NNS	i
've	VBP	have
seen	VBN	see
but	CC	but
i	NP	i
'd	MD	will
say	VB	say
it	PP	it
's	POS	's
fifty	CD	fifty
