what	WP	what
reviewer	NN	reviewer
called	VBD	call
lack	NN	lack
character	NN	character
development	NN	development
understatement	NN	understatement
did	VBD	do
n't	RB	n't
bash	VB	bash
head	NN	head
overexplanation	NN	<unknown>
unnecessary	JJ	unnecessary
backstory	NN	<unknown>
yes	RB	yes
many	JJ	many
untold	JJ	untold
stories	NNS	storey
got	VBD	get
glimpse	NN	glimpse
but	CC	but
primarily	RB	primarily
day	NN	day
snapshot	NN	snapshot
event	NN	event
catalyzed	VBD	catalyze
change	VB	change
all	DT	all
characters	NNS	character
'	POS	'
lives	NNS	life
henry	NN	henry
thomas	NNS	<unknown>
's	POS	's
performance	NN	performance
really	RB	really
lovely	JJ	lovely
study	NN	study
power	NN	power
acting	NN	acting
focuses	VBZ	focus
reaction	NN	reaction
than	IN	than
action	NN	action
good	JJ	good
rental	NN	rental
