yes	UH	yes
admit	VB	admit
cried	VBN	cry
incredibly	RB	incredibly
disappointing	JJ	disappointing
could	MD	could
n't	RB	n't
help	VB	help
myself	PP	myself
but	CC	but
tbn	NN	<unknown>
trinity	NN	trinity
broadcasting	NN	broadcasting
network	NN	network
again	RB	again
having	VBG	have
million	CD	million
dollar	NN	dollar
man	NN	man
ex	IN	ex
professional	JJ	professional
wrestler	NN	wrestler
program	NN	program
omega	NN	omega
code	NN	code
follows	VBZ	follow
stream	NN	stream
sketchy	JJ	sketchy
religiously	RB	religiously
oriented	VBN	orient
quite	RB	quite
amusing	JJ	amusing
yet	RB	yet
time	NN	time
disturbing	VBG	disturb
biblically	RB	biblically
inaccurate	JJ	inaccurate
follows	VBZ	follow
known	VBN	know
as	IN	as
"	``	"
the	DT	the
bible	JJ	bible
code	NN	code
"	''	"
than	IN	than
following	VBG	follow
actual	JJ	actual
biblical	JJ	biblical
scripture	NN	scripture
film	NN	film
extremely	RB	extremely
poorly	RB	poorly
writing	VBG	write
directing	NN	directing
hilariously	RB	hilariously
horrible	JJ	horrible
acting	VBG	act
depressing	JJ	depressing
people	NNS	people
actually	RB	actually
effort	NN	effort
appeared	VBD	appear
more	JJR	more
like	IN	like
late	JJ	late
night	NN	night
watch	NN	watch
usa	NN	<unknown>
channel	NN	channel
straight	JJ	straight
home	NN	home
video	NN	video
than	IN	than
theatrical	NN	theatrical
released	VBD	release
highly	RB	highly
recommend	VB	recommend
not	RB	not
watch	NN	watch
life	NN	life
depended	VBD	depend
