when	WRB	when
saw	VBD	see
birthday	NN	birthday
girl	NN	girl
liked	VBD	like
much	RB	much
set	VB	set
nicole	NN	<unknown>
kidman	NN	<unknown>
film	NN	film
all	DT	all
disappointment	NN	disappointment
compared	VBD	compare
theorize	VB	theorize
while	IN	while
presence	NN	presence
particular	JJ	particular
star	NN	star
usually	RB	usually
guarantees	VBZ	guarantee
certain	JJ	certain
level	NN	level
quality	NN	quality
artistic	JJ	artistic
control	NN	control
nicole	NN	<unknown>
kidman	NN	<unknown>
influence	NN	influence
exerts	VBZ	exert
detrimental	JJ	detrimental
film	NN	film
enjoyment	NN	enjoyment
imho	NN	<unknown>
thus	RB	thus
instance	NN	instance
dogville	NN	<unknown>
depriving	VBG	deprive
viewer	NN	viewer
visual	NN	visual
detract	VB	detract
existential	JJ	existential
insight	NN	insight
hammering	VBG	hammer
home	NN	home
films	NNS	film
promoting	VBG	promote
gay	JJ	gay
lesbianism	NN	lesbianism
as	IN	as
worthy	JJ	worthy
else	NN	else
's	POS	's
attention	NN	attention
pet	NN	pet
causes	VBZ	cause
kidman	NN	<unknown>
's	POS	's
natural	JJ	natural
woman	NN	woman
does	VBZ	do
really	RB	really
great	JJ	great
job	NN	job
do	VBP	do
n't	RB	n't
able	JJ	able
restrain	VB	restrain
but	CC	but
apparently	RB	apparently
worked	VBD	work
way	NN	way
film	NN	film
depicts	VBZ	depict
openness	NN	openness
despite	IN	despite
resistance	NN	resistance
gets	VBZ	get
heart	NN	heart
makes	VBZ	make
woman	NN	woman
woman	NN	woman
consequently	RB	consequently
makes	VBZ	make
man	NN	man
's	POS	's
most	RBS	most
desperate	JJ	desperate
hopes	NNS	hope
marginally	RB	marginally
attainable	JJ	attainable
course	NN	course
fact	NN	fact
male	JJ	male
lead	NN	lead
transforms	VBZ	transform
milquetoast	NN	milquetoast
clerk	NN	clerk
macho	JJ	macho
man	NN	man
space	NN	space
film	NN	film
sounds	VBZ	sound
like	IN	like
male	JJ	male
ego	NN	ego
expansion	NN	expansion
fantasy	NN	fantasy
but	CC	but
transformation	NN	transformation
adequately	RB	adequately
believable	JJ	believable
is	VBZ	be
n't	RB	n't
coyly	RB	coyly
contrived	JJ	contrived
as	IN	as
film	NN	film
engineered	VBD	engineer
bolster	VB	bolster
male	JJ	male
ego	NN	ego
instead	RB	instead
accurately	RB	accurately
records	VBZ	record
necessary	JJ	necessary
growth	NN	growth
arising	VBG	arise
films	NNS	film
unique	JJ	unique
circumstances	NNS	circumstance
quite	RB	quite
charming	JJ	charming
way	NN	way
criminals	NNS	criminal
portrayed	VBN	portray
as	IN	as
perfectly	RB	perfectly
human	JJ	human
apart	RB	apart
criminal	JJ	criminal
mission	NN	mission
gang	NN	gang
coed	NN	coed
rough	JJ	rough
tumble	NN	tumble
fellowship	NN	fellowship
foreign	JJ	foreign
american	NN	American
culture	NN	culture
while	IN	while
adversaries	NNS	adversary
never	RB	never
really	RB	really
enemy	NN	enemy
effect	NN	effect
teach	VBP	teach
compete	VB	compete
really	RB	really
marveled	VBN	marvel
kidman	NN	<unknown>
's	POS	's
ability	NN	ability
physically	RB	physically
appear	VBP	appear
russian	JJ	Russian
wondering	VBG	wonder
ancestry	NN	ancestry
russian	NN	Russian
but	CC	but
none	NN	none
photos	NNS	photo
examined	VBN	examine
showed	VBD	show
any	DT	any
hint	NN	hint
maybe	RB	maybe
just	RB	just
makeup	NN	makeup
but	CC	but
amazing	JJ	amazing
hope	NN	hope
knock	NN	knock
head	NN	head
again	RB	again
soon	RB	soon
turn	VB	turn
great	JJ	great
film	NN	film
despite	IN	despite
gratuitous	JJ	gratuitous
digs	NNS	dig
ms	NN	Ms
kidman	NN	<unknown>
message	NN	message
superior	JJ	superior
film	NN	film
way	NN	way
probably	RB	probably
role	NN	role
lifetime	NN	lifetime
