there	EX	there
much	RB	much
love	VB	love
darling	JJ	darling
little	JJ	little
comedy	NN	comedy
built	VBD	build
bought	VBN	buy
house	NN	house
just	RB	just
short	JJ	short
space	NN	space
more	RBR	more
than	IN	than
just	RB	just
grain	NN	grain
truth	NN	truth
plight	NN	plight
addled	VBD	addle
mr	NN	Mr
blanding	VBG	<unknown>
melvyn	NN	<unknown>
douglas	NNS	<unknown>
great	JJ	great
comedic	JJ	comedic
flare	NN	flare
narrates	VBZ	narrate
acts	NNS	act
as	IN	as
blandings	NNS	<unknown>
'	POS	'
attorney	NN	attorney
voice	NN	voice
reason	NN	reason
as	IN	as
well	RB	well
myrna	NN	<unknown>
loy	NN	<unknown>
best	JJS	good
as	IN	as
scatterbrained	JJ	scatterbrained
but	CC	but
extremely	RB	extremely
patient	JJ	patient
wife	NN	wife
but	CC	but
best	JJS	good
performance	NN	performance
grant	NN	grant
's	POS	's
american	NN	American
everyman	NN	everyman
especially	RB	especially
relevant	JJ	relevant
time	NN	time
film	NN	film
's	POS	's
release	NN	release
nation	NN	nation
grips	VBZ	grip
housing	NN	housing
shortage	NN	shortage
end	NN	end
war	NN	war
themes	NNS	theme
universal	JJ	universal
lack	NN	lack
money	NN	money
work	NN	work
strain	NN	strain
fear	NN	fear
infidelity	NN	infidelity
yes	RB	yes
does	VBZ	do
wrap	VB	wrap
up	RP	up
awfully	RB	awfully
neatly	RB	neatly
but	CC	but
mind	VB	mind
time	NN	time
world	NN	world
just	RB	just
recovering	VBG	recover
terrible	JJ	terrible
war	NN	war
wanted	VBD	want
happy	JJ	happy
ending	VBG	end
still	RB	still
relevant	JJ	relevant
today	NN	today
chalk	NN	chalk
up	IN	up
poor	JJ	poor
reviews	NNS	review
present	JJ	present
preference	NN	preference
dumbed	VBD	<unknown>
gross	JJ	gross
comedies	NNS	comedy
look	VBP	look
film	NN	film
slick	JJ	slick
great	JJ	great
bits	NNS	bit
comedy	NN	comedy
well	RB	well
particularly	RB	particularly
beginning	VBG	begin
while	NN	while
lost	VBD	lose
it	PP	it
's	VBZ	be
social	JJ	social
relevance	NN	relevance
nearly	RB	nearly
years	NNS	year
it	PP	it
's	VBZ	be
release	NN	release
still	RB	still
gem	NN	gem
