this	DT	this
as	RB	as
unique	JJ	unique
as	IN	as
overlooked	VBN	overlook
different	JJ	different
story	NN	story
just	RB	just
shows	VBZ	show
need	MD	need
survive	VB	survive
maintain	VB	maintain
capacity	NN	capacity
love	NN	love
open	JJ	open
heart	NN	heart
as	RB	as
well	RB	well
as	IN	as
open	JJ	open
mind	NN	mind
saw	VBD	see
cable	NN	cable
late	JJ	late
70	CD	@card@
's	VBZ	be
truly	RB	truly
depicted	VBN	depict
limitations	NNS	limitation
gay	JJ	gay
community	NN	community
time	NN	time
believe	VBP	believe
ahead	RB	ahead
time	VB	time
depicting	VBG	depict
little	JJ	little
slice	NN	slice
obscure	JJ	obscure
way	NN	way
life	NN	life
truly	RB	truly
classic	JJ	classic
sense	NN	sense
precursor	NN	precursor
depicted	VBN	depict
as	IN	as
extended	JJ	extended
family	NN	family
film	NN	film
available	JJ	available
dvd	NN	<unknown>
vhs	NNS	<unknown>
not	RB	not
extra	JJ	extra
ordinary	JJ	ordinary
performances	NNS	performance
meg	NN	<unknown>
foster	JJ	foster
perry	NN	perry
king	NN	king
acknowledged	VBD	acknowledge
but	CC	but
far	RB	far
come	VB	come
still	RB	still
relationships	NNS	relationship
concerned	VBN	concern
