the	DT	the
installment	JJ	installment
notorious	JJ	notorious
horror	NN	horror
series	NN	series
presents	VBZ	present
woman	NN	woman
kidnapped	VBN	kidnap
gang	NN	gang
black	JJ	black
clad	JJ	clad
men	NNS	man
torture	VBP	torture
days	NNS	day
finally	RB	finally
killing	VBG	kill
beaten	JJ	beaten
savagely	RB	savagely
spun	VBN	spin
chair	NN	chair
endlessly	RB	endlessly
finger	NN	finger
nails	NNS	nail
pulled	VBD	pull
animal	JJ	animal
guts	NNS	gut
thrown	VBN	throw
hot	JJ	hot
boiling	JJ	boiling
water	NN	water
poured	VBD	pour
finally	RB	finally
eyeball	VB	eyeball
punctured	VBN	puncture
needle	NN	needle
really	RB	really
sick	JJ	sick
nasty	JJ	nasty
scene	NN	scene
makers	NNS	maker
unforgettable	JJ	unforgettable
torture	NN	torture
tried	VBD	try
make	VB	make
as	RB	as
real	JJ	real
as	IN	as
possible	JJ	possible
closest	JJS	close
thing	NN	thing
snuff	NN	snuff
film	NN	film
committing	VBG	commit
murder	NN	murder
tape	NN	tape
course	NN	course
special	JJ	special
effects	NNS	effect
poor	JJ	poor
but	CC	but
idea	NN	idea
making	VBG	make
snuff	NN	snuff
pretty	RB	pretty
gruesome	JJ	gruesome
seen	VBN	see
"	``	"
flowers	NNS	flower
flesh	NN	flesh
blood	NN	blood
"	``	"
more	RBR	more
gory	JJ	gory
sadistic	JJ	sadistic
but	CC	but
less	RBR	less
disturbing	JJ	disturbing
horror	NN	horror
fans	NNS	fan
