how	WRB	how
gather	VBP	gather
respectable	JJ	respectable
cast	NN	cast
young	JJ	young
british	JJ	British
actors	NNS	actor
come	VBP	come
up	RB	up
pile	VB	pile
filmic	JJ	filmic
manure	NN	manure
horrible	JJ	horrible
script	NN	script
annoyingly	RB	annoyingly
hectic	JJ	hectic
camera	NN	camera
awfully	RB	awfully
edited	VBD	edit
gruesomely	RB	gruesomely
badly	RB	badly
acted	VBN	act
rhys	NNS	<unknown>
ifans	NNS	<unknown>
tries	VBZ	try
role	NN	role
life	NN	life
painful	JJ	painful
proof	NN	proof
"	``	"
different	JJ	different
"	''	"
equals	VBZ	equal
"	``	"
dreck	NN	dreck
"	''	"
money	NN	money
people	NNS	people
fail	VBP	fail
read	VB	read
scripts	NNS	script
favour	VB	favour
spare	JJ	spare
like	IN	like
hitting	VBG	hit
mallet	NN	mallet
knees	NNS	knee
it	PP	it
's	VBZ	be
less	JJR	less
painful	JJ	painful
more	JJR	more
fun	NN	fun
than	IN	than
