i	NP	i
feeling	NN	feeling
warners	NNS	warner
bros	NNS	<unknown>
depression	NN	depression
era	NN	era
musicals	NNS	musical
going	VBG	go
lot	RB	lot
more	RBR	more
pertinent	JJ	pertinent
couple	NN	couple
years	NNS	year
yes	RB	yes
economic	JJ	economic
doldrums	NNS	doldrums
living	VBG	live
under	IN	under
rock	NN	rock
times	NNS	time
look	VBP	look
bleak	JJ	bleak
but	CC	but
always	RB	always
as	IN	as
way	NN	way
escape	NN	escape
troubles	VBZ	trouble
30	CD	@card@
's	POS	's
film	NN	film
going	VBG	go
hugely	RB	hugely
popular	JJ	popular
height	NN	height
economic	JJ	economic
gloom	NN	gloom
"	''	"
footlight	NN	<unknown>
parade	NN	parade
1933	CD	@card@
"	''	"
film	NN	film
audiences	NNS	audience
flocked	VBN	flock
while	IN	while
lloyd	NN	Lloyd
bacon	NN	bacon
directed	VBN	direct
musical	NN	musical
does	VBZ	do
n't	RB	n't
quite	RB	quite
capture	VB	capture
social	JJ	social
issues	NNS	issue
time	NN	time
as	IN	as
"	``	"
gold	NN	gold
diggers	NNS	digger
1933	CD	@card@
1933	CD	@card@
"	``	"
does	VBZ	do
it	PP	it
's	VBZ	be
still	RB	still
wonderful	JJ	wonderful
showcase	NN	showcase
talent	NN	talent
wait	NN	wait
end	NN	end
film	NN	film
centrepiece	NN	<unknown>
busby	NN	busby
berkely	JJ	<unknown>
extravaganza	NN	extravaganza
numbers	NNS	number
but	CC	but
boy	NN	boy
worth	NN	worth
waiting	VBG	wait
yes	UH	yes
little	JJ	little
ruby	JJ	ruby
keeler	NN	<unknown>
terrible	JJ	terrible
singer	NN	singer
actress	NN	actress
tapping	VBG	tap
so	RB	so
but	CC	but
busby	NN	busby
's	POS	's
magical	JJ	magical
"	``	"
by	IN	by
waterfall	NN	waterfall
"	``	"
whisks	VBZ	whisk
chorus	NN	chorus
girls	NNS	girl
dizzying	JJ	dizzying
water	NN	water
wonderland	NN	wonderland
course	NN	course
busby	NN	busby
's	POS	's
numbers	NNS	number
never	RB	never
really	RB	really
performed	VBN	perform
stage	NN	stage
defy	VBP	defy
limits	NNS	limit
gravity	NN	gravity
thing	NN	thing
contrast	NN	contrast
terrifically	RB	terrifically
realism	NN	realism
tough	JJ	tough
wisecracking	VBG	wisecrack
non	JJ	non
musical	JJ	musical
scenes	NNS	scene
"	``	"
footlight	NN	<unknown>
"	''	"
james	NNS	<unknown>
cagney	VBD	<unknown>
all	DT	all
too	RB	too
few	JJ	few
musicals	NNS	musical
really	RB	really
could	MD	could
n't	RB	n't
man	NN	man
gets	VBZ	get
leading	VBG	lead
man	NN	man
don	NN	don
sailor	NN	sailor
garb	NN	garb
fawn	NN	fawn
sexpot	NN	sexpot
shanghai	VBP	shanghai
lil	RB	<unknown>
really	RB	really
little	JJ	little
ruby	JJ	ruby
china	NN	china
girl	NN	girl
wig	NN	wig
stars	VBZ	star
joan	JJ	<unknown>
blondell	NN	<unknown>
adorable	JJ	adorable
adoring	VBG	adore
secretary	NN	secretary
cagney	NN	Cagney
overlooks	VBZ	overlook
favour	NN	favour
women	NNS	woman
final	JJ	final
reel	NN	reel
apparently	RB	apparently
blondell	NN	<unknown>
woman	NN	woman
cagney	NN	Cagney
loved	VBD	love
apart	RB	apart
wife	NN	wife
mutual	JJ	mutual
adoration	NN	adoration
scene	NN	scene
