i	NP	i
seen	VBN	see
bad	JJ	bad
films	NNS	film
but	CC	but
took	VBD	take
p	NN	p
no	DT	no
sense	NN	sense
all	DT	all
characters	NNS	character
swear	VBP	swear
couple	NN	couple
seconds	VBZ	second
oh	UH	oh
think	VB	think
low	JJ	low
sperm	NN	sperm
count	NN	count
good	JJ	good
welshman	NN	Welshman
plays	VBZ	play
sweary	JJ	<unknown>
cockney	JJ	cockney
posh	JJ	posh
english	JJ	English
bloke	NN	bloke
plays	NNS	play
foul	RB	foul
mouthed	VBD	mouth
unlovable	JJ	unlovable
rogue	NN	rogue
paddy	NN	paddy
lesser	JJR	lesser
lights	NNS	light
play	VBP	play
dim	JJ	dim
tarts	NNS	tart
russian	JJ	Russian
gangsters	NNS	gangster
oh	UH	oh
yes	UH	yes
gun	NN	gun
maybe	RB	maybe
talks	VBZ	talk
rubbish	NN	rubbish
whilst	IN	whilst
high	JJ	high
drugs	NNS	drug
avoid	VBP	avoid
film	NN	film
like	IN	like
plague	NN	plague
