what	WP	what
horrible	JJ	horrible
horrible	JJ	horrible
film	NN	film
worst	JJS	bad
collection	NN	collection
cliches	NNS	clich
seen	VBN	see
long	JJ	long
time	NN	time
not	RB	not
saw	VBD	see
much	RB	much
left	VBN	leave
theatre	NN	theatre
screaming	VBG	scream
40	CD	@card@
minutes	NNS	minute
search	VBP	search
stiff	JJ	stiff
drink	NN	drink
soothe	VB	soothe
nerves	NNS	nerve
meryl	NN	<unknown>
streep	NNS	<unknown>
awful	JJ	awful
as	IN	as
usual	JJ	usual
many	JJ	many
hurt	NN	hurt
tortured	VBD	torture
expressions	NNS	expression
1	CD	1
person	NN	person
aidan	NN	<unknown>
quinn	NP	Quinn
's	POS	's
talents	NNS	talent
as	IN	as
often	RB	often
totally	RB	totally
wasted	VBN	waste
told	VBN	tell
gloria	NN	gloria
estefan	NN	<unknown>
act	NN	act
trying	VBG	try
polically	RB	<unknown>
correct	JJ	correct
still	RB	still
enforces	VBZ	enforce
racial	JJ	racial
stereotypes	NNS	stereotype
brave	VBP	brave
inexperienced	JJ	inexperienced
lonely	JJ	lonely
music	NN	music
teacher	NN	teacher
teaches	VBZ	teach
underprivilegded	JJ	<unknown>
kids	NNS	kid
violin	NN	violin
poor	JJ	poor
neighbourhood	NN	neighbourhood
school	NN	school
kids	NNS	kid
were	VBD	be
n't	RB	n't
cute	JJ	cute
just	RB	just
written	VBN	write
suit	NN	suit
appalling	JJ	appalling
script	NN	script
aaargh	NN	<unknown>
wes	NNS	<unknown>
craven	JJ	craven
really	RB	really
cringe	VBP	cringe
real	JJ	real
horror	NN	horror
