this	DT	this
as	RB	as
bad	JJ	bad
as	RB	as
come	VB	come
however	RB	however
forced	VBN	force
2	CD	2
scenery	NN	scenery
many	JJ	many
great	JJ	great
shots	NNS	shot
southwest	RB	southwest
including	VBG	include
many	JJ	many
monument	NN	monument
valley	NN	valley
most	JJS	most
breathtaking	JJ	breathtaking
places	NNS	place
starting	VBG	start
john	NN	john
ford	NN	ford
most	JJS	most
filmed	VBN	film
fact	NN	fact
scene	NN	scene
kris	NN	kris
girl	NN	girl
filmed	VBD	film
place	NN	place
called	VBD	call
john	NN	john
ford	NN	ford
point	NN	point
