the	DT	the
von	NP	von
trier	NN	trier
i	NNS	i
've	VBP	have
seen	VBN	see
breaking	VBG	break
waves	NNS	wave
sure	RB	sure
nice	JJ	nice
but	CC	but
definitely	RB	definitely
stands	VBZ	stand
shadow	NN	shadow
europa	NN	Europa
europa	NN	Europa
tells	VBZ	tell
story	NN	story
young	JJ	young
german	JJ	german
american	NN	American
wants	VBZ	want
experience	NN	experience
germany	NN	<unknown>
just	RB	just
second	JJ	second
world	NN	world
war	NN	war
takes	VBZ	take
job	NN	job
uncle	NN	uncle
arranged	VBN	arrange
as	IN	as
purser	NN	purser
luxues	NNS	<unknown>
train	VBP	train
job	NN	job
travels	VBZ	travel
all	RB	all
almost	RB	almost
totally	RB	totally
destroyed	VBN	destroy
germany	NN	<unknown>
meeting	NN	meeting
killing	NN	killing
traitors	NNS	traitor
hunt	VBP	hunt
nazi	NN	Nazi
party	NN	party
members	NNS	member
society	NN	society
suffering	VBG	suffer
corruption	NN	corruption
uncle	NN	uncle
narrowed	VBD	narrow
conciousness	NN	<unknown>
focussing	VBG	focus
job	NN	job
as	IN	as
purser	NN	purser
train	NN	train
coincidence	NN	coincidence
main	JJ	main
character	NN	character
involved	VBN	involve
bombing	NN	bombing
terrorism	NN	terrorism
group	NN	group
called	VBD	call
'	''	'
werewolves	NNS	werewolf
'	POS	'
pressure	NN	pressure
help	NN	help
placing	VBG	place
bombs	NNS	bomb
trains	NNS	train
atmosphere	NN	atmosphere
astounding	VBG	astound
viewer	NN	viewer
taken	VBN	take
scene	NN	scene
scene	NN	scene
man	NN	man
attempting	VBG	attempt
viewer	NN	viewer
under	IN	under
hypnosis	NN	hypnosis
counting	VBG	count
wake	NN	wake
up	IN	up
new	JJ	new
scene	NN	scene
just	RB	just
think	VBP	think
you	PP	you
've	VBP	have
seen	VBN	see
lot	NN	lot
europe	NN	<unknown>
