this	DT	this
personal	JJ	personal
favorite	JJ	favorite
young	JJ	young
great	JJ	great
90	CD	@card@
's	POS	's
kids	NNS	kid
lovable	JJ	lovable
dinosaurs	NNS	dinosaur
cute	JJ	cute
kids	NNS	kid
eccentric	JJ	eccentric
villain	NN	villain
few	JJ	few
great	JJ	great
songs	NNS	song
not	RB	not
typical	JJ	typical
little	JJ	little
mermaid	NN	mermaid
beauty	NN	beauty
beast	NN	beast
type	NN	type
songs	NNS	song
but	CC	but
ones	NNS	one
atually	RB	<unknown>
entertaining	VBG	entertain
ran	VBD	run
again	RB	again
recently	RB	recently
still	RB	still
love	VB	love
as	RB	as
much	RB	much
as	RB	as
recommend	VB	recommend
age	NN	age
definitely	RB	definitely
think	VBP	think
introduced	VBD	introduce
younger	JJR	young
generations	NNS	generation
sorry	RB	sorry
not	RB	not
most	JJS	most
informative	JJ	informative
i	NNS	i
'm	VBP	be
kinda	RB	kinda
rush	VBP	rush
just	RB	just
trust	VB	trust
all	RB	all
against	IN	against
killing	VBG	kill
inner	JJ	inner
child	NN	child
