one	CD	one
great	JJ	great
things	NNS	thing
many	JJ	many
superb	JJ	superb
chinese	NN	Chinese
you	PP	you
lucky	JJ	lucky
video	NN	video
stores	NNS	store
very	RB	very
accurate	JJ	accurate
retellings	NNS	<unknown>
actual	JJ	actual
true	JJ	true
stories	NNS	storey
farewell	NN	farewell
concubine	NN	concubine
emperor	NN	emperor
assassin	NN	assassin
perfect	JJ	perfect
examples	NNS	example
film	NN	film
makers	NNS	maker
true	JJ	true
story	NN	story
work	NN	work
hard	RB	hard
accurately	RB	accurately
create	VB	create
compromising	VBG	compromise
facts	NNS	fact
dramatic	JJ	dramatic
commercial	JJ	commercial
convenience	NN	convenience
hallmark	NN	hallmark
much	JJ	much
hollywood	NN	<unknown>
especially	RB	especially
disney	NN	<unknown>
films	NNS	film
story	NN	story
follow	VBP	follow
later	JJR	late
years	NNS	year
famous	JJ	famous
local	JJ	local
street	NN	street
performer	NN	performer
dubbed	VBD	dub
king	NN	king
masks	NNS	mask
mastery	NN	mastery
sichuan	JJ	<unknown>
change	NN	change
art	NN	art
having	VBG	have
lost	VBN	lose
son	NN	son
many	JJ	many
years	NNS	year
earlier	RBR	earlier
searches	VBZ	search
male	JJ	male
heir	NN	heir
carry	VBP	carry
rare	JJ	rare
dying	VBG	die
art	NN	art
society	NN	society
forbids	VBZ	forbid
females	NNS	female
work	VB	work
master	NN	master
wang	NN	<unknown>
sold	VBD	sell
son	NN	son
slave	NN	slave
trader	NN	trader
all	RB	all
well	RB	well
as	RB	as
joyfully	RB	joyfully
prepares	VBZ	prepare
pass	VB	pass
art	NN	art
but	CC	but
son	NN	son
eventually	RB	eventually
girl	NN	girl
story	NN	story
very	RB	very
interesting	JJ	interesting
good	JJ	good
performance	NN	performance
master	NN	master
liang	NP	Liang
sichuan	NP	Sichuan
opera	NN	opera
regional	JJ	regional
operatic	JJ	operatic
style	NN	style
related	VBN	relate
peking	JJ	<unknown>
opera	NN	opera
fans	NNS	fan
farewell	NN	farewell
concubine	NN	concubine
look	VBP	look
carefully	RB	carefully
master	VB	master
liang	NP	Liang
's	POS	's
portrayal	NN	portrayal
male	NN	male
playing	VBG	play
female	JJ	female
role	NN	role
chinese	NN	Chinese
opera	NN	opera
help	NN	help
come	VBP	come
understand	VB	understand
players	NNS	player
female	JJ	female
roles	NNS	role
probably	RB	probably
not	RB	not
homosexuals	NNS	homosexual
castrati	NNS	castrato
but	CC	but
people	NNS	people
psychologically	RB	psychologically
conditioned	VBN	condition
as	IN	as
totally	RB	totally
unaware	JJ	unaware
sexuality	NN	sexuality
