i	NP	i
saw	VBD	see
recently	RB	recently
but	CC	but
aware	JJ	aware
number	NN	number
years	NNS	year
always	RB	always
intrigued	VBN	intrigue
title	NN	title
belongs	VBZ	belong
as	RB	as
very	RB	very
favourite	JJ	favourite
films	NNS	film
hard	RB	hard
incredible	JJ	incredible
subject	JJ	subject
matter	NN	matter
maysles	NNS	<unknown>
discovered	VBD	discover
but	CC	but
works	VBZ	work
wonderfully	RB	wonderfully
many	JJ	many
memorable	JJ	memorable
images	NNS	image
moments	NNS	moment
feel	VBP	feel
encroaching	VBG	encroach
very	RB	very
private	JJ	private
world	NN	world
fell	VBD	fall
love	NN	love
film	NN	film
characters	VBZ	character
it	PP	it
as	IN	as
though	IN	though
filmmakers	NNS	filmmaker
cast	VBD	cast
spell	NN	spell
audience	NN	audience
drawn	VBN	draw
strange	JJ	strange
world	NN	world
eccentric	JJ	eccentric
beales	NNS	<unknown>
true	JJ	true
aristocratic	JJ	aristocratic
family	NN	family
tangible	JJ	tangible
atmosphere	NN	atmosphere
myself	PP	myself
wishing	VBG	wish
away	RP	away
all	DT	all
cooking	JJ	cooking
corn	NN	corn
cob	NN	cob
bedside	NN	bedside
table	NN	table
air	NN	air
sadness	NN	sadness
permeates	VBZ	permeate
fall	NN	fall
greatness	NN	greatness
esteemed	VBD	esteem
family	NN	family
money	NN	money
gone	VBN	go
but	CC	but
airs	NNS	air
graces	NNS	grace
remained	VBD	remain
as	RB	as
well	RB	well
as	IN	as
beauty	NN	beauty
drew	VBD	draw
frame	NN	frame
long	JJ	long
film	NN	film
finished	VBD	finish
myself	PP	myself
wondering	VBG	wonder
fate	NN	fate
wondering	VBG	wonder
took	VBD	take
walk	VB	walk
east	JJ	east
hampton	NN	<unknown>
beach	NN	beach
still	RB	still
hear	VBP	hear
old	JJ	old
edie	NN	<unknown>
's	POS	's
voice	NN	voice
night	NN	night
silhouette	NN	silhouette
little	JJ	little
edie	NN	<unknown>
dancing	NN	dancing
window	NN	window
thick	JJ	thick
hanging	VBG	hang
creeper	NN	creeper
unforgettable	JJ	unforgettable
