i	NP	i
enjoyed	VBD	enjoy
watching	VBG	watch
cliffhanger	NN	cliffhanger
beginning	VBG	begin
woman	NN	woman
sarah	NN	<unknown>
full	JJ	full
terror	NN	terror
slipping	VBG	slip
thought	VBN	think
terrifying	JJ	terrifying
scene	NN	scene
as	IN	as
think	NN	think
nerves	NNS	nerve
body	NN	body
makes	VBZ	make
full	JJ	full
fright	NN	fright
heart	NN	heart
beats	NNS	beat
faster	RBR	faster
did	VBD	do
like	IN	like
watching	VBG	watch
cliffhanger	NN	cliffhanger
think	VBP	think
silvestar	NN	<unknown>
stallone	NN	<unknown>
great	JJ	great
actor	NN	actor
think	VBP	think
he	PP	he
'll	MD	will
known	VBN	know
as	IN	as
playing	VBG	play
rambo	NN	<unknown>
rocky	JJ	rocky
