to	TO	to
sum	VB	sum
documentary	NN	documentary
up	IN	up
few	JJ	few
words	NNS	word
impossible	JJ	impossible
fiber	NN	fiber
body	NN	body
tells	VBZ	tell
not	RB	not
happening	VBG	happen
right	JJ	right
opening	NN	opening
montage	NN	montage
rapid	JJ	rapid
images	NNS	image
shot	VBD	shoot
clean	VB	clean
up	RP	up
ground	NN	ground
zero	NN	zero
but	CC	but
frame	VB	frame
real	JJ	real
story	NN	story
thought	VBD	think
up	RP	up
french	JJ	French
brothers	NNS	brother
living	VBG	live
new	JJ	new
york	VBP	york
jules	NNS	<unknown>
28	CD	@card@
gideon	NN	<unknown>
31	CD	@card@
naudet	NNS	<unknown>
pronounced	VBD	pronounce
"	``	"
nau	NN	<unknown>
day	NN	day
"	''	"
want	VBP	want
make	VB	make
documentary	NN	documentary
new	JJ	new
york	VBP	york
city	NN	city
firefighters	NNS	firefighter
beginning	VBG	begin
"	``	"
newbie	NN	<unknown>
"	''	"
academy	NN	academy
follow	VB	follow
month	NN	month
probationary	JJ	probationary
period	NN	period
full	JJ	full
fledged	VBN	fledge
firefighter	NN	firefighter
seeking	VBG	seek
help	NN	help
close	JJ	close
friend	NN	friend
actor	NN	actor
james	NNS	<unknown>
hanlon	NN	<unknown>
36	CD	@card@
actor	NN	actor
firefighter	NN	firefighter
station	NN	station
1	CD	1
engine	NN	engine
7	CD	7
naudets	NNS	<unknown>
sift	VBP	sift
"	``	"
probies	NNS	<unknown>
"	''	"
academy	NN	academy
tony	JJ	tony
benetakos	NNS	<unknown>
focus	VBP	focus
bulk	JJ	bulk
documentary	JJ	documentary
tony	JJ	tony
butt	NN	butt
jokes	NNS	joke
slowly	RB	slowly
learns	VBZ	learn
ins	NNS	in
outs	NNS	out
station	NN	station
life	NN	life
members	NNS	member
close	RB	close
knit	VBN	knit
family	NN	family
firefighters	NNS	firefighter
superstition	NN	superstition
"	``	"
probies	NNS	<unknown>
"	''	"
either	CC	either
"	``	"
white	JJ	white
clouds	NNS	cloud
"	''	"
"	''	"
black	JJ	black
clouds	NNS	cloud
"	''	"
meaning	VBG	mean
all	DT	all
kinds	NNS	kind
fires	NNS	fire
follow	VBP	follow
"	``	"
probie	NN	<unknown>
"	''	"
means	VBZ	mean
very	RB	very
little	JJ	little
