this	DT	this
feel	VBP	feel
good	JJ	good
saturday	NN	Saturday
afternoon	NN	afternoon
it	PP	it
's	VBZ	be
right	RB	right
up	IN	up
retro	NN	retro
flicks	NNS	flick
like	IN	like
flight	NN	flight
navigator	NN	navigator
just	RB	just
cute	JJ	cute
subtle	JJ	subtle
comedy	NN	comedy
lighten	VB	lighten
things	NNS	thing
up	IN	up
it	PP	it
's	POS	's
fun	NN	fun
20	CD	@card@
years	NNS	year
changed	VBD	change
stars	NNS	star
like	IN	like
kelly	JJ	<unknown>
preston	NN	<unknown>
lea	NN	lea
thompson	VBZ	<unknown>
not	RB	not
mention	VB	mention
joquin	NN	<unknown>
phoenix	NN	phoenix
personally	RB	personally
really	RB	really
like	IN	like
like	IN	like
time	NN	time
time	NN	time
nothing	NN	nothing
too	RB	too
deep	RB	deep
too	RB	too
scary	JJ	scary
just	RB	just
nice	JJ	nice
story	NN	story
line	NN	line
never	RB	never
known	VBN	know
mr	NN	Mr
phoenix	NN	phoenix
not	RB	not
recently	RB	recently
read	VB	read
credits	NNS	credit
just	RB	just
baby	VBP	baby
really	RB	really
kelly	JJ	<unknown>
preston	NN	<unknown>
quite	RB	quite
young	JJ	young
budding	VBG	bud
actress	NN	actress
too	RB	too
lea	NN	lea
did	VBD	do
wonderful	JJ	wonderful
job	NN	job
agree	VBP	agree
it	PP	it
's	VBZ	be
not	RB	not
oscar	NN	oscar
caliber	NN	caliber
but	CC	but
very	RB	very
much	JJ	much
worth	NN	worth
watching	VBG	watch
especially	RB	especially
kids	NNS	kid
let	VB	let
's	VBZ	be
say	VB	say
8	CD	8
11	CD	@card@
year	NN	year
old	JJ	old
range	NN	range
ones	NNS	one
interested	JJ	interested
space	NN	space
program	NN	program
