i	NP	i
seen	VBN	see
lot	NN	lot
bad	JJ	bad
films	NNS	film
most	JJS	most
time	NN	time
enjoy	VBP	enjoy
crappy	JJ	<unknown>
horror	NN	horror
film	NN	film
but	CC	but
really	RB	really
takes	VBZ	take
badness	NN	badness
new	JJ	new
extremes	NNS	extreme
bland	JJ	bland
plot	NN	plot
never	RB	never
really	RB	really
goes	VBZ	go
takes	VBZ	take
time	NN	time
no	RB	no
shocks	VBZ	shock
no	DT	no
horror	NN	horror
no	DT	no
suspense	NN	suspense
just	RB	just
load	NN	load
guys	NNS	guy
rubbing	VBG	rub
hour	NN	hour
half	DT	half
quick	JJ	quick
finish	NN	finish
blight	NN	blight
crappy	NN	<unknown>
horror	NN	horror
genre	NN	genre
avoid	VB	avoid
all	DT	all
costs	NNS	cost
