why	WRB	why
did	VBD	do
waste	NN	waste
money	NN	money
day	NN	day
sundance	NN	<unknown>
want	VBP	want
refund	NN	refund
$16	NN	<unknown>
while	IN	while
watching	VBG	watch
film	NN	film
kept	VBD	keep
waiting	VBG	wait
happen	VB	happen
nothing	NN	nothing
did	VBD	do
happen	VB	happen
way	NN	way
knew	VBD	know
supposed	JJ	supposed
reading	NN	reading
plot	NN	plot
not	RB	not
really	RB	really
like	IN	like
film	NN	film
did	VBD	do
director	NN	director
zoom	VB	zoom
handy	JJ	handy
cam	NN	cam
zoom	NN	zoom
not	RB	not
very	RB	very
artistic	JJ	artistic
did	VBD	do
director	NN	director
lulu	NN	lulu
filing	NN	filing
nails	VBZ	nail
minutes	NNS	minute
actors	NNS	actor
tried	VBD	try
speak	VB	speak
sounded	VBN	sound
like	IN	like
reading	NN	reading
point	NN	point
felt	VBD	feel
like	IN	like
phantom	JJ	phantom
love	NN	love
no	DT	no
story	NN	story
all	DT	all
honest	JJ	honest
felt	NN	felt
like	IN	like
friends	NNS	friend
vacation	NN	vacation
videos	NNS	video
much	RB	much
higher	JJR	high
entertainment	NN	entertainment
value	NN	value
than	IN	than
film	NN	film
