what	WP	what
say	VBP	say
has	VBZ	have
n't	RB	n't
said	VBN	say
"	``	"
the	DT	the
haunting	NN	haunting
"	``	"
make	VB	make
great	JJ	great
picture	NN	picture
wonderful	JJ	wonderful
sets	NNS	set
moody	JJ	moody
music	NN	music
sound	NN	sound
design	NN	design
die	VBP	die
all	DT	all
place	NN	place
screenplay	NN	screenplay
though	RB	though
boggles	VBZ	boggle
mind	VB	mind
weird	JJ	weird
surrealistic	JJ	surrealistic
way	NN	way
entire	JJ	entire
team	NN	team
forgotten	VBN	forget
read	VBD	read
maybe	RB	maybe
too	RB	too
busy	JJ	busy
creating	VBG	create
cg	NN	<unknown>
effects	NNS	effect
building	VBG	build
gothic	JJ	Gothic
sets	NNS	set
notice	VBP	notice
weak	JJ	weak
plot	NN	plot
member	NN	member
cast	NN	cast
gives	VBZ	give
worthy	JJ	worthy
performance	NN	performance
although	IN	although
little	JJ	little
conviction	NN	conviction
material	NN	material
hand	NN	hand
lili	NNS	<unknown>
taylor	VBG	<unknown>
most	JJS	most
while	IN	while
mostly	RB	mostly
react	VB	react
but	CC	but
that	DT	that
's	VBZ	be
all	DT	all
say	NN	say
slightly	RB	slightly
enjoyable	JJ	enjoyable
hours	NNS	hour
but	CC	but
definitely	RB	definitely
want	VBP	want
more	JJR	more
lot	NN	lot
more	RBR	more
