this	DT	this
worth	NN	worth
seeing	VBG	see
visual	JJ	visual
beauty	NN	beauty
moving	VBG	move
acting	JJ	acting
but	CC	but
interesting	JJ	interesting
cultural	JJ	cultural
subtext	NN	subtext
alienation	NN	alienation
women	NNS	woman
performers	NNS	performer
brought	VBD	bring
supporting	VBG	support
role	NN	role
transvestite	NN	transvestite
opera	NN	opera
star	NN	star
doomed	VBD	doom
relegated	VBN	relegate
subserviant	JJ	<unknown>
roles	NNS	role
china	NN	china
makes	VBZ	make
unlikely	JJ	unlikely
bonding	VBG	bond
aged	VBN	age
street	NN	street
performer	JJ	performer
young	JJ	young
girl	NN	girl
stronger	JJR	strong
as	IN	as
triumph	NN	triumph
native	JJ	native
culture	NN	culture
problem	NN	problem
tendency	NN	tendency
soundtrack	NN	soundtrack
swell	VB	swell
up	RP	up
emotion	NN	emotion
rendered	VBD	render
unnecessary	JJ	unnecessary
actors	NNS	actor
'	POS	'
performance	NN	performance
welcome	JJ	welcome
alternative	NN	alternative
unsatisfying	VBG	unsatisfy
summer	NN	summer
action	NN	action
