the	DT	the
reason	NN	reason
did	VBD	do
n't	RB	n't
score	NN	score
sibrel	NN	<unknown>
does	VBZ	do
adept	JJ	adept
technical	JJ	technical
aspects	NNS	aspect
making	VBG	make
film	NN	film
technically	RB	technically
adept	JJ	adept
film	NN	film
having	VBG	have
said	VBN	say
film	NN	film
based	VBN	base
lies	NNS	lie
distortions	NNS	distortion
quite	RB	quite
easily	RB	easily
disproven	VBZ	<unknown>
most	JJS	most
documentary	NN	documentary
spent	VBD	spend
using	VBG	use
propaganda	NN	propaganda
techniques	NNS	technique
bash	VBP	bash
space	NN	space
program	NN	program
than	IN	than
actual	JJ	actual
fact	NN	fact
sibrel	NN	<unknown>
's	VBZ	be
"	``	"
irrefutable	JJ	irrefutable
proof	NN	proof
"	''	"
landings	NNS	landing
faked	VBN	fake
easily	RB	easily
refuted	VBD	refute
know	VB	know
orbital	JJ	orbital
mechanics	NNS	mechanic
not	RB	not
recommend	VBP	recommend
watching	VBG	watch
but	CC	but
google	NN	<unknown>
video	NN	video
free	RB	free
do	VBP	do
n't	RB	n't
let	VB	let
bart	NN	<unknown>
sibrel	NN	<unknown>
profit	NN	profit
curiosity	NN	curiosity
