my	PP$	my
family	NN	family
screened	VBD	screen
underdog	NN	underdog
night	NN	night
as	IN	as
bad	JJ	bad
as	IN	as
underdog	NN	underdog
year	NN	year
old	JJ	old
loved	VBN	love
hot	JJ	hot
rod	NN	rod
makes	VBZ	make
look	NN	look
like	IN	like
oscar	NN	oscar
worthy	JJ	worthy
material	NN	material
thing	NN	thing
saved	VBD	save
evel	NN	<unknown>
himself	PP	himself
come	VBP	come
retirement	NN	retirement
slap	NN	slap
samberg	NNS	<unknown>
face	VBP	face
making	VBG	make
admit	VB	admit
however	RB	however
soundtrack	NN	soundtrack
good	NN	good
was	VBD	be
n't	RB	n't
sure	RB	sure
set	VB	set
80	CD	@card@
's	POS	's
but	CC	but
majority	NN	majority
music	NN	music
coming	VBG	come
europe	NN	<unknown>
knows	VBZ	know
pass	VB	pass
just	RB	just
stay	VB	stay
home	NN	home
watch	NN	watch
test	NN	test
pattern	NN	pattern
local	JJ	local
tv	NN	tv
station	NN	station
dead	RB	dead
set	VBD	set
watching	VBG	watch
people	NNS	people
under	IN	under
influence	NN	influence
enjoy	VBP	enjoy
